日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2021-03-19,2300.0,2647.0,2188.0,2599.0,20701400.0,2599.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1758368603308965,-0.19469026548672566,-0.146979607541362,-0.3459022701038861,,,-0.18391689111196613,-0.20238553289726818,,
2021-03-22,2713.0,2899.0,2581.0,2606.0,25452600.0,2606.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.2003069838833461,-0.2003069838833461,-0.1435149654643131,-0.3127398311588641,,,-0.19646968534151957,-0.1696085955487337,,
2021-03-23,2635.0,2657.0,2358.0,2525.0,14093000.0,2525.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.18574257425742574,-0.18613861386138614,-0.1504950495049505,-0.321980198019802,,,-0.1493069306930693,-0.13425742574257427,,
2021-03-24,2512.0,2515.0,2112.0,2145.0,6628900.0,2145.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.03822843822843823,-0.014452214452214453,-0.0484848484848484,-0.1794871794871795,,,-0.042890442890442894,0.04755244755244755,,
2021-03-25,2162.0,2249.0,2001.0,2047.0,4353300.0,2047.0,2384.4,,,,,False,False,False,False,False,False,False,False,False,False,False,0.03761602344894968,0.1348314606741573,0.0693698094772838,-0.0952613580850024,,,-0.004885197850512946,0.03517342452369321,,
2021-03-26,2080.0,2237.0,2061.0,2142.0,5596500.0,2142.0,2293.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.02287581699346405,0.09337068160597572,-0.0098039215686274,-0.1470588235294117,,,-0.10317460317460317,,,
2021-03-29,2092.0,2178.0,2050.0,2084.0,2175400.0,2084.0,2188.6,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0,0.08061420345489444,0.0047984644913627,-0.1348368522072936,,,-0.10268714011516315,,,
2021-03-30,2052.0,2119.0,2017.0,2056.0,1123500.0,2056.0,2094.8,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.00048638132295719845,0.10262645914396887,0.0447470817120622,-0.1371595330739299,,,-0.04231517509727627,,,
2021-03-31,2034.0,2090.0,2005.0,2063.0,906100.0,2063.0,2078.4,,,,,False,False,False,False,False,False,False,False,False,False,False,0.024721279689772176,0.12845370819195345,-0.0048473097430925,-0.1274842462433349,,,-0.07125545322346098,,,
2021-04-01,2053.0,2135.0,2053.0,2124.0,1405300.0,2124.0,2093.8,2239.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.09369114877589454,0.07062146892655367,-0.0409604519774011,-0.1690207156308851,,,-0.13559322033898305,,,
