日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率
2021-01-04,1679.0,1679.0,1624.0,1642.0,420600.0,1639.2918701171875,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.021315468940316686,0.029232643118148598,0.0962241169305724,0.0517661388550548,,,0.11388550548112059,0.11753958587088915,
2021-01-05,1623.0,1649.0,1621.0,1643.0,370000.0,1640.290283203125,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.024954351795496044,0.03530127814972611,0.1497261107729762,0.0553864881314668,,,0.13877054169202677,0.10164333536214243,
2021-01-06,1637.0,1655.0,1637.0,1646.0,549200.0,1643.2852783203125,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.022478736330498177,0.020048602673147023,0.1318347509113001,0.0504252733900364,,,0.137910085054678,0.09720534629404617,
2021-01-07,1679.0,1723.0,1674.0,1710.0,680500.0,1707.1798095703125,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.03450292397660819,-0.011695906432748537,0.0953216374269005,0.043859649122807,,,0.07309941520467836,0.05906432748538012,
2021-01-08,1719.0,1719.0,1686.0,1700.0,360100.0,1697.1962890625,1668.2,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.021176470588235293,-0.021176470588235293,0.1017647058823529,0.0570588235294117,,,0.05941176470588235,0.1676470588235294,
2021-01-12,1691.0,1692.0,1670.0,1677.0,417000.0,1674.234130859375,1675.2,,,,,False,False,False,False,False,False,False,False,False,False,False,0.007751937984496124,-0.01073345259391771,0.0906380441264162,0.0852713178294573,,,0.05307096004770424,0.21407274895646988,
2021-01-13,1678.0,1697.0,1666.0,1684.0,336100.0,1681.22265625,1683.4,,,,,False,False,False,False,False,False,False,False,False,False,False,0.010095011876484561,0.023752969121140142,0.1110451306413301,0.0825415676959619,,,0.0172209026128266,0.20546318289786222,
2021-01-14,1675.0,1695.0,1664.0,1683.0,402800.0,1680.2242431640625,1690.8,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0023767082590612004,0.013666072489601902,0.112893642305407,0.0962566844919786,,,0.035056446821152706,0.21390374331550802,
2021-01-15,1698.0,1698.0,1631.0,1651.0,563700.0,1648.277099609375,1679.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.023622047244094488,0.02301635372501514,0.1114476075105996,0.1193216232586311,,,0.04966686856450636,0.2543912780133253,
2021-01-18,1665.0,1684.0,1653.0,1664.0,414600.0,1661.255615234375,1671.8,1670.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0,0.06310096153846154,0.0823317307692307,0.1057692307692307,,,0.013221153846153846,0.22716346153846154,
2021-01-19,1685.0,1702.0,1679.0,1690.0,471100.0,1687.2127685546875,1674.4,1674.8,,,,False,False,False,False,False,False,False,False,False,False,False,-0.018343195266272188,0.0650887573964497,0.0449704142011834,0.1242603550295858,,,0.020710059171597635,0.18698224852071005,
2021-01-20,1695.0,1706.0,1674.0,1701.0,447100.0,1698.194580078125,1677.8,1680.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.01352145796590241,0.11052322163433274,0.0070546737213403,0.1416813639035861,,,-0.02880658436213992,0.19106407995296884,
2021-01-21,1701.0,1721.0,1675.0,1679.0,404500.0,1676.2308349609375,1677.0,1683.9,,,,False,False,False,False,False,False,False,False,False,False,False,0.016081000595592615,0.1095890410958904,0.0375223347230494,0.1012507444907683,,,0.022632519356759976,0.19416319237641452,
2021-01-22,1668.0,1696.0,1651.0,1690.0,266000.0,1687.2127685546875,1684.8,1681.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.000591715976331361,0.10828402366863905,0.0254437869822485,0.0633136094674556,,,-0.0029585798816568047,0.19585798816568048,
2021-01-25,1688.0,1688.0,1655.0,1664.0,220800.0,1661.255615234375,1684.8,1678.3,,,,False,False,False,False,False,False,False,False,False,False,False,0.06310096153846154,0.12560096153846154,0.0132211538461538,0.0757211538461538,,,0.040865384615384616,0.22896634615384615,
2021-01-26,1664.0,1675.0,1655.0,1659.0,345500.0,1656.263916015625,1678.6,1676.5,,,,False,False,False,False,False,False,False,False,False,False,False,0.08499095840867993,0.1024713682941531,0.0397830018083182,0.1054852320675105,,,0.040988547317661245,0.22001205545509342,
2021-01-27,1677.0,1726.0,1677.0,1724.0,713800.0,1721.1566162109375,1683.2,1680.5,,,,False,False,False,False,False,False,False,False,False,False,True,0.095707656612529,0.08526682134570766,-0.0417633410672853,0.068445475638051,,,0.00580046403712297,0.17807424593967516,
2021-01-28,1684.0,1733.0,1671.0,1706.0,702700.0,1703.1864013671875,1688.6,1682.8,,,,False,False,False,False,False,False,False,False,False,False,False,0.09202813599062133,0.09788980070339977,0.0064478311840562,0.0662368112543962,,,0.013481828839390387,0.20574443141852286,
2021-01-29,1715.0,1725.0,1685.0,1689.0,509900.0,1686.21435546875,1688.4,1686.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.10894020130254589,0.08644168146832445,-0.0023682652457075,0.0923623445825932,,,0.056838365896980464,0.24748371817643577,
2021-02-01,1696.0,1776.0,1696.0,1769.0,601000.0,1766.0823974609375,1709.4,1697.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.058790276992651214,0.018089315997738834,-0.0209157716223855,0.0344827586206896,,,0.01582815149802148,0.18711136235161108,
2021-02-02,1797.0,1880.0,1741.0,1800.0,1883200.0,1797.0313720703125,1737.6,1708.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.01611111111111111,-0.01888888888888889,-0.0405555555555555,0.0177777777777777,,,0.011111111111111112,0.17444444444444446,
2021-02-03,1880.0,1964.0,1864.0,1889.0,1668500.0,1885.884521484375,1770.6,1726.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.009528851244044468,-0.09317098994176813,-0.0820539968237162,-0.0238221281101111,,,-0.03493912122816305,0.12228692429857067,
2021-02-04,1887.0,1918.0,1850.0,1863.0,664500.0,1859.9273681640625,1802.0,1745.3,,,,False,False,False,False,False,False,False,False,False,False,False,0.005367686527106817,-0.06494900697799248,-0.0719269994632313,0.0155662909286097,,,-0.00966183574879227,0.14546430488459475,
2021-02-05,1876.0,1905.0,1865.0,1873.0,662100.0,1869.910888671875,1838.8,1763.6,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0202883075280299,-0.07474639615589963,-0.0469834490122797,-0.0048051254671649,,,-0.013347570742124934,0.12813667912439936,
2021-02-08,1886.0,1902.0,1870.0,1873.0,353100.0,1869.910888671875,1859.6,1784.5,1718.76,,,False,False,False,False,False,False,False,False,False,False,False,-0.03844100373731981,-0.0998398291510945,-0.0405766150560598,0.0128136679124399,0.08234917245061399,,-0.01761879337960491,0.16550987720234916,
2021-02-09,1870.0,1885.0,1801.0,1829.0,857800.0,1825.9835205078125,1865.4,1801.5,1726.24,,,False,False,False,False,False,False,True,False,False,False,False,-0.03444505194095134,-0.056861673045379986,-0.0049207217058501,0.0426462547840349,0.05618370694368507,,0.038819026790595956,0.21377802077638053,
2021-02-10,1828.0,1890.0,1825.0,1871.0,548000.0,1867.9141845703125,1861.8,1816.2,1735.36,,,False,False,False,False,False,False,True,False,False,False,False,-0.08444681988241583,-0.11704970603955105,-0.0256547300908605,0.009086050240513,0.07249599144842335,,0.03794762159273116,0.19615179048637094,
2021-02-12,1871.0,1887.0,1860.0,1873.0,532400.0,1869.910888671875,1863.8,1832.9,1744.44,,,False,False,False,False,False,False,True,False,False,True,False,-0.06994127068873465,-0.08328884143085959,-0.0149492792311799,0.0149492792311799,0.06863854778430323,,-0.012813667912439935,0.21089161772557394,
2021-02-15,1855.0,1878.0,1813.0,1835.0,863800.0,1831.9736328125,1856.2,1847.5,1749.44,,,False,False,False,False,False,False,True,False,False,True,False,-0.0555858310626703,-0.08174386920980926,0.0070844686648501,0.0430517711171662,0.04662670299727517,,-0.020708446866485014,0.23651226158038147,
2021-02-16,1836.0,1844.0,1791.0,1801.0,805500.0,1798.0296630859375,1841.8,1850.7,1753.48,,,False,False,False,False,False,False,True,False,False,True,False,-0.06385341476957246,-0.038312048861743477,0.0216546363131593,0.0427540255413659,0.026385341476957237,,-0.006107717934480844,0.25485841199333703,
2021-02-17,1772.0,1778.0,1749.0,1766.0,976400.0,1763.08740234375,1829.2,1847.3,1757.04,,,False,False,False,False,False,False,True,False,False,True,False,-0.0232163080407701,-0.022083805209513023,0.0758776896942242,0.0679501698754246,0.0050736126840317305,,0.03850509626274066,0.282559456398641,
2021-02-18,1765.0,1792.0,1693.0,1713.0,2890700.0,1710.1748046875,1797.6,1829.7,1758.2,,,False,False,False,False,False,False,True,False,False,True,False,-0.03561004086398132,0.012259194395796848,0.1336835960303561,0.1015761821366024,-0.02638645650904848,,0.07530647985989491,0.30939871570344424,
