日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2021-01-28,691.0,713.7000122070312,688.0,707.7000122070312,14338300.0,699.431640625,714.0800048828125,722.4900024414062,,,,False,False,False,False,False,False,False,False,False,False,False,0.03405394258900658,0.03843438142978883,0.1524656796916107,0.3303659513355677,,,0.19415000849076025,0.30252928061742707,,0.30062698883379957
2021-01-29,706.0,711.4000244140625,693.9000244140625,694.2999877929688,5867700.0,686.1881713867188,708.4800048828125,717.7200012207031,,,,False,False,False,False,False,False,False,False,False,False,False,0.06222096063166421,0.06740600405558973,0.1464784876783792,0.3423592343168963,,,0.24542708830476542,0.3550338532823122,,0.3020537200707417
2021-02-01,689.2000122070312,708.2000122070312,689.0,703.2000122070312,3548700.0,694.9841918945312,705.4200073242188,714.9800048828125,,,,False,False,False,False,False,False,False,False,False,False,False,0.05773602798798635,0.07551190936314173,0.1788964528003045,0.3094425082601865,,,0.22283846627820694,0.3403014556867154,,0.3012252002103014
2021-02-02,706.7999877929688,719.7999877929688,703.2000122070312,717.7000122070312,4545700.0,709.3148193359375,707.860009765625,714.0100036621094,,,,False,False,False,False,False,False,False,False,False,False,False,0.03176813070248598,0.10101713636182341,0.1453253253712943,0.2697505535642804,,,0.2220983149891949,0.3232548363578349,,0.30425343513911746
2021-02-03,730.0,758.9000244140625,724.2000122070312,757.7999877929688,12834200.0,748.9462890625,716.1400024414063,717.3,,,,False,False,False,False,False,False,False,False,False,False,True,-0.027447859762504134,0.02586439289630668,0.0853787453803804,0.1731327716026239,,,0.19820535052326493,0.24795464164799758,,0.30179840900501437
2021-02-04,751.7000122070312,755.0,730.0999755859375,731.7999877929688,8163100.0,723.25,720.9599975585937,717.5200012207031,,,,False,False,False,False,False,False,False,False,False,False,False,0.004236180203340986,0.05547969021363223,0.1548237082302631,0.2652364578557575,,,0.24364579224810148,0.3500956770711398,,0.30967777848976413
2021-02-05,744.7999877929688,747.7000122070312,733.2999877929688,737.5,5825200.0,728.8834228515625,729.6,719.0400024414063,,,,False,False,False,False,False,False,False,False,False,False,True,0.00488132282838983,0.06657623808262712,0.1724745928230932,0.2272542041843221,,,0.25789832163665255,0.3115932037870763,,0.31320927457988795
2021-02-08,739.9000244140625,755.5,739.2999877929688,743.7999877929688,7837000.0,735.1098022460938,737.7199951171875,721.5700012207031,722.0360009765625,,,False,False,False,False,False,False,False,False,False,False,False,0.01680559317712611,0.05579456934805869,0.1560903986642835,0.240790588276999,0.029260536667908774,,0.23057273839017023,0.3051895720966102,,0.31212494246736383
2021-02-09,754.0999755859375,754.9000244140625,732.0,740.5,7471900.0,731.848388671875,742.2799926757813,725.0700012207031,724.8480004882813,,,False,False,False,False,False,False,True,False,False,False,False,0.06711682944906314,0.11276164753544902,0.1844699197649392,0.2212018741295999,0.021137068888208932,,0.23781225602422365,0.3392302663160449,,0.3144386003476277
2021-02-10,737.0,746.4000244140625,735.0999755859375,737.0,4787600.0,728.3892822265625,738.1199951171875,727.1299987792969,727.2319995117188,,,False,False,False,False,False,False,True,False,False,True,False,0.05481685809235075,0.07421982660384159,0.2320217096336499,0.2364993050108124,0.013253732005809017,,0.2691994903854307,0.34721848631487434,,0.3217994070306931
2021-02-12,737.7000122070312,737.7999877929688,723.7000122070312,734.9000244140625,4781200.0,726.3138427734375,738.7400024414062,729.85,728.7160009765626,,,False,False,False,False,False,False,True,False,False,True,False,0.051027348964777675,0.10981078853034093,0.2383997079215808,0.2407129643517824,0.0084147819187113,,0.2951421365808786,0.38045988066045205,,0.329574573462227
2021-02-15,737.0,746.2000122070312,735.5999755859375,741.0999755859375,4692600.0,732.4413452148438,739.4599975585937,734.5299987792969,729.24,,,False,False,False,False,False,False,True,False,False,True,False,0.06139522533923474,0.07407910703364519,0.2517879405859671,0.236270466049677,0.01600320601354846,,0.253676975028047,0.3668871048053801,,0.33093271246481853
2021-02-16,748.7999877929688,763.4000244140625,748.7999877929688,756.2999877929688,6941100.0,747.4638061523438,741.9599975585937,739.8399963378906,730.4119995117187,,,False,False,False,False,False,False,True,False,True,False,False,0.03834457287858442,0.09612589366712024,0.2102340375067214,0.1823350874518479,0.03422978804587351,,0.19648292875785653,0.32553221761313395,,0.32949017156526794
2021-02-17,769.0,790.7000122070312,768.0999755859375,790.2000122070312,10521900.0,780.9677124023438,751.9,747.0899963378906,732.54,,,False,False,False,False,False,False,True,False,False,False,False,0.04277396516176363,0.040242960391953526,0.1599594551079173,0.147810663108883,0.07296888296165256,,0.16907108772726076,0.2628448607928065,,0.3230400751287394
2021-02-18,798.0,804.4000244140625,771.2000122070312,777.4000244140625,9333400.0,768.3173217773438,759.9800048828125,749.05,733.6840014648437,,,False,False,False,False,False,False,True,False,False,True,False,0.018394632549371032,0.05801385923537885,0.2032415680962793,0.1780292758328896,0.05623362693121622,,0.20851552674971238,0.29148439473838345,,0.3273613292331746
2021-02-19,770.4000244140625,774.5999755859375,766.2000122070312,772.4000244140625,4986000.0,763.375732421875,767.4800048828125,753.1100036621094,734.432001953125,,,False,False,False,False,False,False,True,False,False,True,False,0.055929505186960854,0.0941221502770209,0.2322630213728927,0.1905747624536133,0.049155905309220815,,0.21892797804378064,0.29596060119152884,,0.3219317215560154
2021-02-22,792.2000122070312,800.5,786.4000244140625,786.5999755859375,5881400.0,777.4097900390625,776.5800048828125,758.0200012207031,736.2160009765626,,,False,False,False,False,False,False,True,False,False,False,False,0.011950196676602274,0.09928812489844932,0.1811594259125828,0.1449275407300661,0.06405285554686672,,0.18484621017913733,0.2821002177743133,,0.31880425750368596
2021-02-24,791.9000244140625,794.9000244140625,780.5999755859375,785.2999877929688,7824900.0,776.1249389648438,782.3800048828125,762.1700012207032,738.4040014648438,,,False,False,False,False,False,False,True,False,False,False,False,0.05564753964895264,0.0949955912144504,0.1522985336561907,0.1228829765695101,0.05971728900687101,,0.17254552668568526,0.26563101981874415,,0.3146542201085315
2021-02-25,804.7999877929688,831.0,804.7999877929688,824.0,11432800.0,814.372802734375,789.1400024414063,770.5200012207031,742.2680004882812,,,False,False,False,False,False,False,True,False,False,False,False,-0.0024271844660194173,0.0644417179440989,0.1211164900400106,0.0836165344830855,0.0991893197957752,,0.10594658712738926,0.22269417475728157,,0.30245808769961086
2021-02-26,813.2999877929688,813.2999877929688,791.0,791.7000122070312,12323400.0,782.4501953125,792.0,775.9900024414062,744.94,,,False,False,False,False,False,False,True,False,False,True,False,0.03890360909191762,0.14689906024980084,0.1866868580448104,0.1202475820881208,0.05906279081223931,,0.12290007110360457,0.25918909819767805,,0.29379245114698116
2021-03-01,792.9000244140625,815.5999755859375,792.2999877929688,815.5999755859375,8535100.0,806.0709228515625,800.639990234375,784.0599975585938,748.38,,,False,False,False,False,False,False,True,False,False,False,False,0.03616969210771104,0.11586562387046431,0.1543649193020319,0.1028690864707145,0.08241782442139703,,0.1352379256128397,0.18415892190178848,,0.2742647363907271
2021-03-02,823.7000122070312,823.7000122070312,794.0999755859375,796.0,9051700.0,786.699951171875,802.5199951171875,789.55,751.3280004882813,,,False,False,False,False,False,False,True,False,False,True,False,0.08630654799878298,0.16545227664199905,0.1708542713567839,0.1232411753592179,0.05612060240165665,,0.13706027083660505,0.17010053318349547,,0.25506935411933634
2021-03-03,807.0,830.0,806.9000244140625,829.0,9945900.0,819.3143920898438,811.2599975585938,796.8200012207031,755.7480004882813,,,False,False,False,False,False,False,True,False,False,False,False,0.03727385333421291,0.10410131217487183,0.1107358115717355,0.0866103592195039,0.08836188119628316,,0.11326902824374233,0.17985521783587166,,0.24055621669782978
2021-03-04,819.0,829.0,810.7000122070312,822.0,7550300.0,812.3961791992188,810.8599975585937,800.0,760.4080004882812,,,False,False,False,False,False,False,True,False,False,False,False,0.06703160046951034,0.11508512845004576,0.1086374547359717,0.1053527683527221,0.0749294397952783,,0.10012163965081357,0.18552311435523114,,0.23270000457763673
