日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2019-04-26,1806.6989285714287,1986.702142857143,1676.6966071428571,1866.7,1172900.0,1866.7,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.2267638077891466,0.4339208228424491,,,,,0.7731826217388975,0.27497723254941875,,
2019-05-07,1966.6666666666663,2200.0,1870.0,2200.0,861000.0,2200.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.04090909090909091,0.21968181818181826,,,,,0.5318181818181819,0.057590909090909005,,
2019-05-08,2233.333333333333,2500.0,2170.0,2350.0,980900.0,2350.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.02127659574468085,0.26242553191489354,,,,,0.44540425531914885,-0.035446808510638375,,
2019-05-09,2426.6666666666665,2533.333333333333,2240.0,2450.0,584500.0,2450.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.027224489795918294,0.2217551020408164,,,,,0.36599999999999994,-0.08706122448979599,,
2019-05-10,2450.0,2470.0,2310.0,2370.0,170700.0,2370.0,2247.34,,,,,False,False,False,False,False,False,False,False,False,False,False,0.13219409282700428,0.29675105485232073,,,,,0.500717299578059,-0.08016877637130802,,
2019-05-13,2433.333333333333,2436.6666666666665,2286.6666666666665,2290.0,83600.0,2290.0,2332.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.16886462882096062,0.4701746724890829,,,,,0.6055458515283842,-0.0815283842794759,,
2019-05-14,2156.6666666666665,2376.6666666666665,2106.6666666666665,2290.0,115200.0,2290.0,2350.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.17174672489082976,0.4031877729257643,,,,,0.5036244541484717,-0.07716157205240166,,
2019-05-15,2323.333333333333,2550.0,2226.6666666666665,2300.0,442400.0,2300.0,2340.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.2898695652173912,0.45795652173913054,,,,,0.46230434782608704,-0.031869565217391385,,
2019-05-16,2346.6977483443707,2576.7007947019865,2313.3639735099337,2516.7,294900.0,2516.7,2353.34,,,,,False,False,False,False,False,False,False,False,False,False,False,0.189374975165892,0.28342670958000565,,,,,0.3721540112051498,-0.11260778002940344,,
2019-05-17,2606.634285714286,2796.631925465839,2599.9677018633543,2683.3,420000.0,2683.3,2416.0,2331.67,,,,False,False,False,False,False,False,False,False,False,False,False,0.14534342041516043,0.15529385458204442,,,,,0.26459956024298437,-0.1925241307345434,,-0.04646026238704445
2019-05-20,2670.0332503113323,2866.702366127023,2653.3663760896634,2676.7,403500.0,2676.7,2493.34,2412.67,,,,False,False,False,False,False,False,False,False,False,False,False,0.25778010236485227,0.0958643105316249,,,,,0.287667650465125,-0.18930025778010232,,-0.0871772766271392
