日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価,出来高変化率,25日平均変動率,25日平均変動率差,75日平均変動率差
2017-12-21,1110.0,1169.0,1106.5,1157.5,1573800.0,1157.5,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0773218142548596,0.2311015118790496,,,,,0.2367170626349892,0.2829373650107991,,,,,1.0,,,
2017-12-22,1157.5,1246.5,1154.0,1245.0,1904500.0,1245.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0397590361445783,0.1405622489959839,,,,,0.165863453815261,0.2048192771084337,,,,,1.2101283517600712,,,
2017-12-25,1285.0,1295.0,1225.5,1245.5,1240900.0,1245.5,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0943396226415094,0.1140104375752709,,,,,0.1601766358892011,0.1589723002810116,,,,,0.6515620897873458,,,
2017-12-26,1252.0,1294.0,1227.5,1250.0,617000.0,1250.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.1324,0.0832,,,,,0.1008,0.1992,,,,,0.4972197598517205,,,
2017-12-27,1260.0,1352.0,1208.5,1325.0,1187500.0,1325.0,1244.6,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0641509433962264,0.090188679245283,,,,,-0.0698113207547169,0.1094339622641509,,,,,1.924635332252836,,,
2017-12-28,1310.5,1360.0,1236.0,1247.0,918300.0,1247.0,1262.5,,,,,False,False,False,False,False,False,False,False,False,False,False,0.1427425821972734,0.1419406575781876,,,,,0.016439454691259,0.2020850040096231,,,,,0.7733052631578947,,,
2017-12-29,1297.0,1325.0,1263.5,1294.5,669200.0,1294.5,1272.4,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0969486288142139,0.1483198146002317,,,,,0.0247199691000386,0.1490923136346079,,,,,0.7287378852226941,,,
2018-01-04,1362.5,1412.0,1323.5,1363.0,802500.0,1363.0,1295.9,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0179750550256786,0.1151870873074101,,,,,-0.0322817314746881,0.111518708730741,,,,,1.199193066347878,,,
2018-01-05,1380.0,1469.0,1355.0,1415.5,1019700.0,1415.5,1329.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0434475450370893,0.0614623807841752,,,,,-0.0780642882373719,0.0483927940657011,,,,,1.2706542056074766,,,
2018-01-09,1464.5,1471.5,1402.5,1410.0,511700.0,1410.0,1346.0,1295.3,,,,False,False,False,False,False,False,False,False,False,False,False,0.0244680851063829,0.0464539007092198,,,,,-0.0797872340425532,0.0276595744680851,,0.145062919786922,,,0.5018142590958125,,,
2018-01-10,1403.0,1425.0,1382.5,1425.0,266600.0,1425.0,1381.6,1322.05,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0007017543859649,0.0228070175438596,,,,,-0.1122807017543859,0.0024561403508771,,0.1176203623161,,,0.5210084033613446,,,
2018-01-11,1425.0,1464.0,1410.0,1420.0,271900.0,1420.0,1406.7,1339.55,,,,False,False,False,False,False,False,False,False,False,False,False,0.0468309859154929,0.0387323943661971,,,,,-0.0827464788732394,-0.003169014084507,,0.0967115822477697,,,1.019879969992498,,,
2018-01-12,1405.5,1410.5,1370.0,1387.5,279100.0,1387.5,1411.6,1353.75,,,,False,False,False,False,False,False,False,False,False,False,False,0.0954954954954954,0.0598198198198198,,,,,-0.0551351351351351,0.027027027027027,,0.0838411819021237,,,1.0264803236484,,,
2018-01-15,1397.0,1397.5,1340.0,1354.0,267700.0,1354.0,1399.3,1364.15,,,,False,False,False,False,False,False,False,False,False,False,False,0.1096750369276218,0.1189069423929099,,,,,-0.0476366322008862,0.0332348596750369,,0.0682476267272659,,,0.9591544249372984,,,
2018-01-16,1365.0,1444.5,1353.5,1444.5,318300.0,1444.5,1406.2,1376.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.021460713049498,0.0034614053305642,,,,,-0.0681896850121149,-0.0197300103842159,,0.0550468715936341,,,1.1890175569667538,,,
2018-01-17,1425.0,1479.5,1402.0,1424.0,412300.0,1424.0,1406.0,1393.8,,,,False,False,False,False,False,False,False,False,False,False,False,0.0235252808988764,0.0052668539325842,,,,,-0.0143960674157303,-0.0010533707865168,,0.0361601377529057,,,1.2953188815582783,,,
2018-01-18,1472.0,1545.0,1445.0,1486.5,771000.0,1486.5,1419.3,1413.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0077362933064244,-0.0235452404978136,,,,,-0.0581903800874537,-0.0164816683484695,,0.020276008492569,,,1.8699975745816155,,,
2018-01-19,1498.5,1522.5,1460.0,1520.0,248700.0,1520.0,1445.8,1428.7,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0325657894736842,-0.0493421052631578,,,,,-0.0625,-0.0296052631578947,,0.0062644362007419,,,0.322568093385214,,,
2018-01-22,1540.0,1545.0,1490.0,1502.5,268700.0,1502.5,1475.5,1437.4,,,,False,False,False,False,False,False,False,False,False,False,False,0.0083194675540765,-0.0841930116472545,,,,,-0.0682196339434276,-0.0655574043261231,,-0.0053916794211771,,,1.0804181745074386,,,
2018-01-23,1495.0,1497.5,1453.0,1475.5,233900.0,1475.5,1481.7,1443.95,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0176211453744493,-0.1646899356150457,,,,,-0.0586241951880718,-0.0450694679769569,,-0.0126735690293984,,,0.870487532564198,,,
2018-01-24,1465.5,1487.5,1446.0,1457.5,248600.0,1457.5,1488.4,1447.2,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0178387650085763,-0.1303602058319039,,,,,-0.060377358490566,-0.0586620926243567,,-0.0187949143173024,,,1.062847370671227,,,
2018-01-25,1455.0,1495.0,1451.5,1475.0,137600.0,1475.0,1486.1,1452.7,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0159322033898305,-0.1006779661016949,,,,,-0.08,-0.0708474576271186,,-0.025607489502306,,,0.5534995977473853,,,
2018-01-26,1480.0,1487.0,1458.5,1470.5,156700.0,1470.5,1476.2,1461.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0173410404624277,-0.1030261815708942,,,,,-0.1125467528051683,0.0156409384563073,,-0.0264544832306639,,,1.1388081395348837,,,
2018-01-29,1475.0,1520.0,1475.0,1515.0,195500.0,1515.0,1478.7,1477.1,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0917491749174917,-0.1386138613861386,,,,,-0.1234323432343234,0.0495049504950495,,-0.0241351296459277,,,1.2476068921506065,,,
2018-01-30,1500.0,1505.0,1393.0,1449.5,421500.0,1449.5,1473.5,1477.6,1390.4,,,False,False,False,False,False,False,False,False,False,False,False,-0.1497067954467057,-0.1048637461193515,,,0.0407726802345635,,-0.0807174887892376,0.1279751638496033,,-0.0096440173253925,,,2.156010230179028,,,
2018-01-31,1417.5,1460.0,1412.5,1431.5,135700.0,1431.5,1468.3,1478.35,1401.36,,,False,False,False,False,False,False,True,False,False,False,False,-0.1145651414600069,-0.1163115612993363,,,0.021054837582955,,-0.0597275585050646,0.1753405518686692,,0.0074407278384685,,,0.3219454329774614,0.0078209739110576,,
2018-02-01,1469.0,1482.5,1435.5,1451.5,148900.0,1451.5,1463.6,1474.85,1409.62,,,False,False,False,False,False,False,True,False,False,True,False,-0.0861178091629348,-0.1026524285222184,,,0.0288529107819497,,-0.0833620392697209,0.122976231484671,,0.0212224972031055,,,1.0972733971997053,0.0058597352477972,-0.0019612386632604,
2018-02-02,1438.5,1459.5,1415.5,1445.0,124800.0,1445.0,1458.5,1467.35,1417.6,,,False,False,False,False,False,False,True,False,False,True,False,-0.08719723183391,-0.0927335640138408,,,0.018961937716263,,-0.0553633217993079,0.1522491349480969,,0.03939073840597,,,0.8381464069845533,0.0056292325056433,-0.0002305027421539,
2018-02-05,1401.0,1416.5,1363.5,1376.0,273400.0,1376.0,1430.7,1454.7,1422.64,,,False,False,False,False,False,False,True,False,False,True,False,-0.0515988372093023,-0.0628633720930232,,,-0.0338953488372093,,0.0297965116279069,0.1954941860465116,,0.064996219151715,,,2.190705128205128,0.0035427093291347,-0.0020865231765086,
2018-02-06,1226.0,1283.5,1135.5,1232.5,791300.0,1232.5,1387.3,1430.4,1418.94,,,False,False,False,False,False,False,False,False,False,True,False,0.0527383367139959,0.0920892494929006,,,-0.1512697768762678,,0.1476673427991886,0.2860040567951318,,0.0953928970917224,,,2.894294074615947,-0.0026075803064259,-0.0061502896355606,
2018-02-07,1299.0,1314.0,1238.0,1267.5,295200.0,1267.5,1354.5,1411.4,1419.76,,,False,False,False,False,False,False,True,False,False,False,False,-0.0019723865877712,0.1072978303747534,,,-0.1201262327416173,,0.1424063116370808,0.2603550295857988,,0.1261159132775967,,,0.3730569948186528,0.0005775624049134,0.0031851427113394,
2018-02-08,1262.5,1348.5,1250.0,1326.5,135500.0,1326.5,1329.5,1396.55,1421.04,,,False,False,False,False,False,False,True,False,False,False,False,-0.0180927252167357,0.0554089709762532,,,-0.0712702600829249,,0.0848096494534489,0.2231436110064078,,0.1561347606601983,,,0.4590108401084011,0.0009007487473962,0.0003231863424827,
2018-02-09,1226.5,1325.0,1225.0,1319.0,215700.0,1319.0,1304.3,1381.4,1419.28,,,False,False,False,False,False,False,False,False,False,True,False,-0.0060652009097801,0.0803639120545868,,,-0.0760272934040939,,0.0530705079605761,0.2528430629264594,,0.1803243086723613,,,1.5918819188191882,-0.0012400653852657,-0.002140814132662,
2018-02-13,1354.0,1358.5,1305.0,1305.0,141200.0,1305.0,1290.1,1360.4,1414.86,,,False,False,False,False,False,False,False,False,False,True,False,-0.0118773946360153,0.0727969348659003,,,-0.0841839080459769,,0.0486590038314176,0.3199233716475095,,0.2082843281387826,,,0.6546128882707464,-0.0031239839984168,-0.001883918613151,
2018-02-14,1312.5,1335.5,1242.5,1297.5,186700.0,1297.5,1303.1,1345.2,1410.36,,,False,False,False,False,False,False,False,False,False,True,False,0.0373795761078998,0.0705202312138728,,,-0.0869826589595375,,0.0685934489402697,0.3236994219653179,,0.2280701754385964,,,1.3222379603399437,-0.0031906747213477,-6.669072293088519e-05,
2018-02-15,1322.5,1362.0,1262.5,1265.0,375500.0,1265.0,1302.6,1328.55,1403.96,,,False,False,False,False,False,False,False,False,False,True,False,0.1094861660079051,0.0826086956521739,,,-0.1098498023715415,,0.0581027667984189,0.3379446640316205,,0.2442136163486508,,,2.0112479914301016,-0.0045585344311802,-0.0013678597098325,
2018-02-16,1296.5,1327.5,1262.5,1302.5,271600.0,1302.5,1297.8,1313.65,1399.26,,,False,False,False,False,False,False,False,False,False,False,False,0.0748560460652591,0.0418426103646833,,,-0.0742879078694817,,0.0410748560460652,0.3243761996161228,,0.2655577969778859,,,0.7233022636484687,-0.0033589182853794,0.0011996161458008,
