日付,始値,高値,安値,終値,出来高,終値調整値
2021-01-04,2290.0,2290.0,2099.0,2202.0,5200.0,2161.890625
2021-01-05,2199.0,2268.0,2199.0,2267.0,1600.0,2225.706787109375
2021-01-06,2267.0,2267.0,2267.0,2267.0,0.0,2225.706787109375
2021-01-08,2217.0,2249.0,2217.0,2246.0,900.0,2205.08935546875
2021-01-12,2202.0,2222.0,2202.0,2222.0,500.0,2181.5263671875
2021-01-13,2229.0,2236.0,2229.0,2236.0,200.0,2195.271484375
2021-01-14,2225.0,2235.0,2225.0,2235.0,400.0,2194.28955078125
2021-01-15,2229.0,2230.0,2222.0,2230.0,500.0,2189.380615234375
2021-01-18,2200.0,2219.0,2200.0,2219.0,2500.0,2178.5810546875
2021-01-19,2200.0,2219.0,2196.0,2198.0,3500.0,2157.963623046875
2021-01-20,2198.0,2201.0,2150.0,2188.0,4000.0,2148.145751953125
2021-01-21,2188.0,2188.0,2161.0,2161.0,3200.0,2121.637451171875
2021-01-22,2185.0,2185.0,2150.0,2161.0,2400.0,2121.637451171875
2021-01-25,2180.0,2220.0,2180.0,2220.0,200.0,2179.562744140625
2021-01-26,2222.0,2259.0,2222.0,2240.0,1200.0,2199.198486328125
2021-01-27,2241.0,2241.0,2230.0,2238.0,900.0,2197.23486328125
2021-01-28,2238.0,2238.0,2213.0,2222.0,1900.0,2181.5263671875
2021-01-29,2122.0,2180.0,2122.0,2171.0,13700.0,2131.455322265625
2021-02-01,2199.0,2218.0,2199.0,2218.0,1500.0,2177.599365234375
2021-02-02,2200.0,2240.0,2200.0,2225.0,1100.0,2184.4716796875
2021-02-03,2250.0,2250.0,2249.0,2249.0,200.0,2208.03466796875
2021-02-04,2238.0,2243.0,2200.0,2202.0,1000.0,2161.890625
2021-02-05,2242.0,2242.0,2242.0,2242.0,100.0,2201.162109375
2021-02-08,2242.0,2242.0,2242.0,2242.0,0.0,2201.162109375
2021-02-12,2205.0,2205.0,2178.0,2181.0,1900.0,2141.273193359375
2021-02-15,2181.0,2181.0,2130.0,2130.0,2300.0,2091.2021484375
2021-02-16,2130.0,2180.0,2130.0,2180.0,2800.0,2140.29150390625
2021-02-17,2136.0,2139.0,2130.0,2139.0,1100.0,2100.038330078125
2021-02-18,2139.0,2189.0,2139.0,2160.0,800.0,2120.65576171875
2021-02-19,2162.0,2210.0,2162.0,2199.0,3500.0,2158.9453125
2021-02-22,2200.0,2241.0,2199.0,2209.0,2300.0,2168.76318359375
2021-02-24,2200.0,2200.0,2200.0,2200.0,1700.0,2159.92724609375
2021-02-25,2219.0,2225.0,2191.0,2222.0,3100.0,2181.5263671875
2021-02-26,2222.0,2222.0,2200.0,2210.0,5000.0,2169.744873046875
2021-03-01,2210.0,2234.0,2185.0,2234.0,1300.0,2193.307861328125
2021-03-02,2184.0,2185.0,2184.0,2184.0,1200.0,2144.218505859375
2021-03-03,2184.0,2184.0,2184.0,2184.0,1400.0,2144.218505859375
2021-03-04,2184.0,2184.0,2166.0,2166.0,1600.0,2126.54638671875
2021-03-05,2166.0,2166.0,2166.0,2166.0,0.0,2126.54638671875
2021-03-08,2168.0,2200.0,2168.0,2200.0,1800.0,2159.92724609375
2021-03-09,2200.0,2206.0,2173.0,2173.0,1400.0,2133.4189453125
2021-03-10,2175.0,2210.0,2174.0,2174.0,1900.0,2134.400634765625
2021-03-11,2175.0,2211.0,2175.0,2200.0,1800.0,2159.92724609375
2021-03-12,2204.0,2218.0,2200.0,2201.0,1200.0,2160.908935546875
2021-03-15,2206.0,2219.0,2201.0,2201.0,1900.0,2160.908935546875
2021-03-16,2200.0,2216.0,2200.0,2216.0,200.0,2175.6357421875
2021-03-17,2200.0,2229.0,2200.0,2214.0,1400.0,2173.672119140625
2021-03-18,2200.0,2202.0,2175.0,2200.0,3400.0,2159.92724609375
2021-03-19,2200.0,2204.0,2182.0,2201.0,3700.0,2160.908935546875
2021-03-22,2200.0,2200.0,2171.0,2185.0,3100.0,2145.200439453125
2021-03-23,2199.0,2200.0,2181.0,2200.0,3100.0,2159.92724609375
2021-03-24,2200.0,2219.0,2198.0,2198.0,300.0,2157.963623046875
2021-03-25,2198.0,2220.0,2196.0,2220.0,700.0,2179.562744140625
2021-03-26,2220.0,2220.0,2183.0,2195.0,1000.0,2155.018310546875
2021-03-29,2195.0,2210.0,2195.0,2196.0,700.0,2156.0
2021-03-30,2156.0,2209.0,2156.0,2209.0,1500.0,2209.0
2021-03-31,2300.0,2300.0,2250.0,2250.0,5300.0,2250.0
2021-04-01,2244.0,2244.0,2144.0,2192.0,700.0,2192.0
2021-04-02,2192.0,2192.0,2057.0,2057.0,1000.0,2057.0
2021-04-05,2071.0,2071.0,2071.0,2071.0,200.0,2071.0
2021-04-06,2072.0,2072.0,2072.0,2072.0,100.0,2072.0
2021-04-07,2072.0,2072.0,2072.0,2072.0,0.0,2072.0
2021-04-09,2072.0,2073.0,2054.0,2073.0,700.0,2073.0
2021-04-12,2030.0,2030.0,2030.0,2030.0,100.0,2030.0
2021-04-13,2012.0,2012.0,2012.0,2012.0,100.0,2012.0
2021-04-14,2012.0,2050.0,2012.0,2050.0,300.0,2050.0
2021-04-15,2031.0,2079.0,2031.0,2040.0,300.0,2040.0
2021-04-16,2043.0,2043.0,2037.0,2037.0,300.0,2037.0
2021-04-19,2037.0,2037.0,2037.0,2037.0,0.0,2037.0
2021-04-20,2042.0,2042.0,1978.0,1993.0,600.0,1993.0
2021-04-21,2000.0,2048.0,1973.0,2032.0,700.0,2032.0
2021-04-22,2007.0,2008.0,2007.0,2008.0,200.0,2008.0
2021-04-23,2046.0,2046.0,2046.0,2046.0,100.0,2046.0
2021-04-26,2060.0,2061.0,2060.0,2061.0,300.0,2061.0
2021-04-27,2077.0,2125.0,2077.0,2115.0,700.0,2115.0
2021-04-28,2116.0,2155.0,2116.0,2155.0,1700.0,2155.0
2021-04-30,2199.0,2199.0,2199.0,2199.0,4400.0,2199.0
2021-05-06,2150.0,2180.0,2104.0,2106.0,1100.0,2106.0
2021-05-07,2103.0,2108.0,2100.0,2108.0,400.0,2108.0
2021-05-10,2062.0,2085.0,2062.0,2085.0,200.0,2085.0
2021-05-11,2059.0,2070.0,2059.0,2065.0,300.0,2065.0
2021-05-12,2062.0,2062.0,1911.0,1911.0,500.0,1911.0
2021-05-13,1876.0,1885.0,1876.0,1885.0,200.0,1885.0
2021-05-14,1911.0,1914.0,1911.0,1914.0,300.0,1914.0
