日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価,出来高変化率
2006-04-27,1450.0,1600.0,1250.0,1250.0,2493500.0,1250.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.24,-0.41,,,,,-0.5592,-0.568,True,,,,1.0
2006-04-28,1175.0,1225.0,1050.0,1057.5,1425600.0,1057.5,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1536643026004728,-0.2813238770685579,,,,,-0.5177304964539007,-0.502127659574468,True,,,,0.5717264888710648
2006-05-01,1077.5,1105.0,961.0,1060.0,900000.0,1060.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1957547169811321,-0.3117924528301887,,,,,-0.5287735849056604,-0.5070754716981132,True,,,,0.6313131313131313
2006-05-02,1035.0,1042.5,975.0,986.0,320300.0,986.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1536511156186612,-0.2545638945233265,,,,,-0.4776876267748479,-0.4675456389452332,True,,,,0.3558888888888888
2006-05-08,975.0,985.0,915.0,942.5,270200.0,942.5,1059.2,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1294429708222811,-0.2143236074270557,,,,,-0.426525198938992,-0.4249336870026525,True,,,,0.8435841398688729
2006-05-09,962.5,992.5,930.0,950.0,252400.0,950.0,999.2,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.2236842105263158,-0.2578947368421053,,,,,-0.441578947368421,-0.4352631578947368,True,,,,0.9341228719467062
2006-05-10,971.0,971.0,857.5,895.0,165600.0,895.0,966.7,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1508379888268156,-0.2145251396648044,,,,,-0.3748603351955307,-0.3519553072625698,True,,,,0.6561014263074485
2006-05-11,869.0,919.0,850.5,852.5,161100.0,852.5,925.2,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1442815249266862,-0.1935483870967742,,,,,-0.3079178885630498,-0.3131964809384164,True,,,,0.9728260869565216
2006-05-12,792.5,837.0,790.5,834.5,133300.0,834.5,894.9,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1192330736968244,-0.1701617735170761,,,,,-0.2528460155781905,-0.1821449970041941,True,,,,0.8274363749224084
2006-05-15,814.0,827.5,809.5,820.5,68400.0,820.5,870.5,964.85,,,,False,False,False,False,False,False,False,False,False,False,False,-0.097501523461304,-0.230956733698964,,,,,-0.2608165752589884,-0.2541133455210237,True,-0.4141576410841063,,,0.5131282820705176
2006-05-16,836.0,844.5,735.0,737.5,135900.0,737.5,828.0,913.6,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0440677966101694,-0.1789830508474576,,,,,-0.2135593220338983,-0.2162711864406779,True,-0.3771344133099825,,,1.986842105263158
2006-05-17,735.0,760.0,701.0,760.0,90400.0,760.0,801.0,883.85,,,,False,False,False,False,False,False,False,False,False,False,False,-0.075,-0.3019736842105263,,,,,-0.2789473684210526,-0.2611842105263158,True,-0.3522090852520225,,,0.6651949963208241
2006-05-18,705.0,735.0,700.0,729.5,57300.0,729.5,776.4,850.8,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0575736806031528,-0.3145990404386566,,,,,-0.2186429061000685,-0.1980808773132282,True,-0.3196991067230841,,,0.6338495575221239
2006-05-19,711.0,750.0,707.5,735.0,53500.0,735.0,756.5,825.7,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0578231292517006,-0.2986394557823129,,,,,-0.2374149659863945,-0.2108843537414966,True,-0.2923579992733439,,,0.9336823734729494
2006-05-22,774.0,775.0,740.0,740.5,63700.0,740.5,740.5,805.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1478730587440918,-0.2606347062795408,,,,,-0.2437542201215395,-0.2221471978392977,True,-0.2703910614525139,,,1.1906542056074767
2006-05-23,725.0,728.5,705.0,705.0,45200.0,705.0,734.0,781.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1411347517730496,-0.2184397163120567,,,,,-0.1985815602836879,-0.1886524822695035,True,-0.2429577464788732,,,0.7095761381475667
2006-05-24,724.5,724.5,675.5,703.0,56700.0,703.0,722.6,761.8,,,,False,False,False,False,False,False,False,False,False,False,False,-0.2453769559032717,-0.2745376955903271,,,,,-0.2283072546230441,-0.1934566145092461,True,-0.2255841428196376,,,1.2544247787610618
