日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価,出来高変化率,25日平均変動率,25日平均変動率差,75日平均変動率差
2020-08-03,2520.0,2829.0,2120.0,2230.0,7132200.0,2230.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.06188340807174888,0.3811659192825112,,,,,0.3632286995515695,0.09237668161434978,,,,,1.0,,,
2020-08-04,2050.0,2223.0,2050.0,2200.0,3676400.0,2200.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.1590909090909091,0.5454545454545454,,,,,0.33,0.07590909090909091,,,,,0.5154650738902442,,,
2020-08-05,2228.0,2430.0,2227.0,2387.0,5898300.0,2387.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.05278592375366569,0.4222873900293255,,,,,0.1562630917469627,0.012987012987012988,,,,,1.6043684038733543,,,
2020-08-06,2437.0,2447.0,2090.0,2120.0,3014000.0,2120.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.24056603773584906,0.5542452830188679,,,,,0.3443396226415094,0.14764150943396226,,,,,0.5109946933862299,,,
2020-08-07,2198.0,2400.0,2181.0,2400.0,2660600.0,2400.0,2267.4,,,,,False,False,False,False,False,False,False,False,False,False,False,0.11166666666666666,0.5833333333333334,,,,,0.14208333333333334,0.042083333333333334,,,,,0.8827471798274718,,,
2020-08-11,2350.0,2479.0,2310.0,2368.0,2718800.0,2368.0,2295.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.30067567567567566,0.5350506756756757,,,,,0.2660472972972973,0.04983108108108108,,,,,1.021874765090581,,,
2020-08-12,2468.0,2850.0,2436.0,2550.0,12116700.0,2550.0,2365.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.3333333333333333,0.4588235294117647,,,,,0.08705882352941176,-0.00823529411764706,,,,,4.456635280270707,,,
2020-08-13,2638.0,2683.0,2469.0,2513.0,6222200.0,2513.0,2390.2,,,,,False,False,False,False,False,False,False,False,False,False,False,0.35097493036211697,0.47234381217668125,,,,,0.07162753680859531,-0.027855153203342618,,,,,0.5135226588097419,,,
2020-08-14,2555.0,2639.0,2515.0,2630.0,1773900.0,2630.0,2492.2,,,,,False,False,False,False,False,False,False,False,False,False,False,0.25285171102661597,0.21673003802281368,,,,,0.024334600760456272,-0.06768060836501902,,,,,0.2850920896146057,,,
2020-08-17,2710.0,2765.0,2645.0,2668.0,2167300.0,2668.0,2545.8,2406.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.424287856071964,0.29685157421289354,,,,,0.07383808095952024,-0.11731634182908546,,0.014709548740962392,,,1.2217712385140087,,,
2020-08-18,2768.0,3170.0,2733.0,3080.0,7583900.0,3080.0,2688.2,2491.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.18019480519480519,0.09902597402597403,,,,,-0.10357142857142858,-0.225,,-0.02187349494300851,,,3.4992386840769623,,,
2020-08-19,3175.0,3540.0,3155.0,3400.0,6501400.0,3400.0,2858.2,2611.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.09411764705882353,-0.03823529411764706,,,,,-0.19323529411764706,-0.30617647058823527,,-0.06712360238933976,,,0.857263413283403,,,
2020-08-20,3535.0,3725.0,3280.0,3395.0,5878300.0,3395.0,3034.6,2712.4,,,,False,False,False,False,False,False,False,False,False,False,False,0.0898379970544919,-0.025036818851251842,,,,,-0.22385861561119294,-0.3478645066273932,,-0.10931278572481934,,,0.9041591041929432,,,
2020-08-21,3465.0,3480.0,3150.0,3295.0,3115500.0,3295.0,3167.6,2829.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.028831562974203338,-0.025796661608497723,,,,,-0.2009104704097117,-0.29833080424886194,,-0.15057069154387076,,,0.5300001701172108,,,
2020-08-24,3405.0,3800.0,3330.0,3800.0,4631400.0,3800.0,3394.0,2969.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.08947368421052632,-0.1763157894736842,,,,,-0.28342105263157896,-0.36447368421052634,,-0.19350819892925697,,,1.4865671641791045,,,
