日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2006-11-30,1370.0,1570.0,1340.0,1570.0,16623.0,1570.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.4171974522292994,0.10509554140127389,,,,,-0.12101910828025478,-0.4745222929936306,,
2006-12-01,1555.0,1810.0,1465.0,1725.0,25819.0,1725.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.16521739130434782,-0.02318840579710145,,,,,-0.21739130434782608,-0.5217391304347826,,
2006-12-04,1725.0,1975.0,1710.0,1975.0,18333.0,1975.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.14430379746835442,-0.16455696202531644,,,,,-0.3265822784810127,-0.6050632911392405,,
2006-12-05,2150.0,2225.0,2095.0,2225.0,10357.0,2225.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.07191011235955057,-0.2247191011235955,,,,,-0.4853932584269663,-0.651685393258427,,
2006-12-06,2325.0,2475.0,2285.0,2475.0,12622.0,2475.0,1994.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.21818181818181817,-0.29292929292929293,,,,,-0.5454545454545454,-0.6828282828282828,,
2006-12-07,2500.0,2585.0,2225.0,2225.0,6731.0,2225.0,2125.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.2202247191011236,-0.27191011235955054,,,,,-0.45393258426966293,-0.6134831460674157,,
2006-12-08,2175.0,2270.0,1975.0,2010.0,7650.0,2010.0,2182.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.16169154228855723,-0.26616915422885573,,,,,-0.39800995024875624,-0.5771144278606966,,
2006-12-11,2135.0,2260.0,2065.0,2260.0,3908.0,2260.0,2239.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.26991150442477874,-0.26327433628318586,,,,,-0.4446902654867257,-0.6460176991150443,,
2006-12-12,2385.0,2500.0,2010.0,2065.0,9153.0,2065.0,2207.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.16464891041162227,-0.2397094430992736,,,,,-0.3801452784503632,-0.6053268765133172,,
2006-12-13,2090.0,2095.0,1905.0,1935.0,4042.0,1935.0,2099.0,2046.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.09560723514211886,-0.2144702842377261,,,,,-0.35658914728682173,-0.5658914728682171,,-0.6015147813339848
2006-12-14,1960.0,1980.0,1700.0,1735.0,3047.0,1735.0,2001.0,2063.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.06628242074927954,-0.14121037463976946,,,,,-0.2680115273775216,-0.5389048991354467,,-0.605913717886573
2006-12-15,1785.0,1895.0,1650.0,1685.0,4656.0,1685.0,1936.0,2059.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.12462908011869436,-0.13649851632047477,,,,,-0.18694362017804153,-0.5192878338278932,,-0.6058766391452162
2006-12-18,1710.0,1730.0,1570.0,1650.0,3128.0,1650.0,1814.0,2026.5,,,,False,False,False,False,False,False,False,False,False,False,False,0.00909090909090909,-0.12727272727272726,,,,,-0.20909090909090908,-0.47575757575757577,,-0.5953614606464347
2006-12-19,1660.0,1900.0,1590.0,1725.0,9001.0,1725.0,1746.0,1976.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.08985507246376812,-0.22318840579710145,,,,,-0.2927536231884058,-0.4115942028985507,,-0.5729825449026056
2006-12-20,1825.0,1865.0,1680.0,1750.0,3232.0,1750.0,1709.0,1904.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.13142857142857142,-0.18,,,,,-0.32857142857142857,-0.46,,-0.5483193277310925
2006-12-21,1750.0,1755.0,1615.0,1620.0,1543.0,1620.0,1686.0,1843.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.08024691358024691,-0.14814814814814814,,,,,-0.2993827160493827,-0.45987654320987653,,-0.5326823976132357
2006-12-22,1545.0,1570.0,1415.0,1475.0,1813.0,1475.0,1644.0,1790.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.013559322033898305,-0.0847457627118644,,,,,-0.21694915254237288,-0.4406779661016949,,-0.5201117318435754
