日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価
2020-04-01,191.0,193.0,175.0,184.0,251300.0,184.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.16304347826086957,-0.17391304347826086,,,,,-0.03260869565217391,-0.09782608695652174,,,,
2020-04-02,180.0,181.0,165.0,169.0,172700.0,169.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.07692307692307693,-0.09467455621301775,,,,,0.029585798816568046,-0.01775147928994083,,,,
2020-04-03,168.0,168.0,146.0,149.0,251600.0,149.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.040268456375838924,0.026845637583892617,,,,,0.1476510067114094,0.1342281879194631,,,,
2020-04-06,134.0,140.0,132.0,139.0,487400.0,139.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.10071942446043165,0.17266187050359713,,,,,0.22302158273381295,0.2014388489208633,,,,
2020-04-07,140.0,150.0,135.0,150.0,365200.0,150.0,158.2,,,,,False,False,False,False,False,False,False,False,False,False,False,0.04,0.04666666666666667,,,,,0.14,0.09333333333333334,,,,
2020-04-08,149.0,155.0,144.0,154.0,214000.0,154.0,152.2,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.012987012987012988,0.0,,,,,0.12987012987012986,0.03896103896103896,,,,
2020-04-09,154.0,160.0,151.0,156.0,126000.0,156.0,149.6,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.019230769230769232,0.01282051282051282,,,,,0.1282051282051282,-0.019230769230769232,,,,
2020-04-10,156.0,157.0,153.0,155.0,104900.0,155.0,150.8,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.012903225806451613,0.05161290322580645,,,,,0.12258064516129032,0.01935483870967742,,,,
2020-04-13,148.0,158.0,148.0,153.0,156200.0,153.0,153.6,,,,,False,False,False,False,False,False,False,False,False,False,False,0.06535947712418301,0.058823529411764705,,,,,0.1437908496732026,0.05228758169934641,,,,
2020-04-14,153.0,156.0,153.0,156.0,65900.0,156.0,154.8,156.5,,,,False,False,False,False,False,False,False,False,False,False,False,0.00641025641025641,0.038461538461538464,,,,,0.1858974358974359,0.038461538461538464,,0.038977635782747565,,
2020-04-15,154.0,154.0,152.0,152.0,59800.0,152.0,154.4,153.3,,,,False,False,False,False,False,False,False,False,False,False,False,0.013157894736842105,0.125,,,,,0.19078947368421054,0.05921052631578947,,0.05740378343118058,,
