日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率
2021-01-04,961.0,961.0,947.0,959.0,16500.0,940.0098876953124,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.017726798748696558,-0.0020855057351407717,-0.0041710114702815,-0.0125130344108446,,,0.02502606882168926,0.0010427528675703858,
2021-01-05,952.0,960.0,947.0,956.0,13300.0,937.0693359375,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.02301255230125523,0.0010460251046025104,0.0031380753138075,0.0031380753138075,,,0.02510460251046025,0.009414225941422594,
2021-01-06,956.0,963.0,952.0,962.0,11400.0,942.9505004882812,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.014553014553014554,-0.0010395010395010396,0.0124740124740124,-0.0062370062370062,,,0.009355509355509356,-0.04158004158004158,
2021-01-07,970.0,976.0,962.0,973.0,24100.0,953.732666015625,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.008221993833504625,-0.014388489208633094,-0.0030832476875642,-0.0102774922918807,,,-0.0010277492291880781,-0.05755395683453238,
2021-01-08,973.0,978.0,968.0,977.0,20000.0,957.6534423828124,965.4,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.014329580348004094,-0.017400204708290685,-0.0030706243602865,0.0020470829068577,,,-0.015353121801432957,-0.06857727737973388,
2021-01-12,975.0,980.0,966.0,976.0,18500.0,956.6732788085938,968.8,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0194672131147541,-0.020491803278688523,0.0071721311475409,0.0030737704918032,,,-0.0020491803278688526,-0.08504098360655737,
2021-01-13,979.0,983.0,971.0,978.0,24500.0,958.6336669921876,973.2,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.02147239263803681,-0.024539877300613498,0.0020449897750511,0.0010224948875255,,,-0.013292433537832311,-0.0736196319018405,
2021-01-14,980.0,981.0,970.0,976.0,13400.0,956.6732788085938,976.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.015368852459016393,-0.014344262295081968,-0.0051229508196721,0.0163934426229508,,,-0.0235655737704918,-0.0584016393442623,
2021-01-15,976.0,976.0,961.0,965.0,15300.0,945.89111328125,974.4,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0062176165803108805,-0.02383419689119171,0.0072538860103626,0.0766839378238342,,,-0.0051813471502590676,-0.04870466321243523,
2021-01-18,965.0,969.0,962.0,963.0,9700.0,943.9307250976562,971.6,968.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.003115264797507788,-0.02284527518172378,-0.0010384215991692,0.0778816199376947,,,-0.016614745586708203,-0.04984423676012461,
2021-01-19,964.0,966.0,957.0,957.0,13100.0,938.0494995117188,967.8,968.3,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0010449320794148381,-0.0020898641588296763,0.0177638453500522,0.0762800417972831,,,-0.01567398119122257,-0.05747126436781609,
2021-01-20,957.0,959.0,952.0,957.0,8500.0,938.0494995117188,963.6,968.4,,,,False,False,False,False,False,False,False,False,False,False,False,-0.003134796238244514,0.0020898641588296763,0.0083594566353187,0.0585161964472309,,,-0.05329153605015674,-0.06896551724137931,
2021-01-21,960.0,969.0,957.0,961.0,10900.0,941.9702758789062,960.6,968.3,,,,False,False,False,False,False,False,False,False,False,False,False,0.001040582726326743,0.013527575442247659,-0.0083246618106139,0.0634755463059313,,,-0.01768990634755463,-0.07596253902185224,
2021-01-22,963.0,968.0,958.0,959.0,17500.0,940.0098876953124,959.4,966.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.017726798748696558,0.011470281543274244,0.0010427528675703,0.0656934306569343,,,-0.017726798748696558,-0.07612095933263817,
2021-01-25,962.0,964.0,954.0,960.0,20100.0,940.9901123046876,958.8,965.2,,,,False,False,False,False,False,False,False,False,False,False,False,-0.019791666666666666,0.014583333333333334,-0.0135416666666666,0.040625,,,-0.016666666666666666,-0.06979166666666667,
2021-01-26,968.0,968.0,947.0,956.0,24200.0,937.0693359375,958.6,963.2,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0010460251046025104,0.028242677824267783,-0.0146443514644351,0.0523012552301255,,,-0.009414225941422594,-0.07322175732217573,
2021-01-27,956.0,957.0,948.0,954.0,14200.0,935.10888671875,958.0,960.8,,,,False,False,False,False,False,False,False,False,False,False,False,0.005241090146750524,0.027253668763102725,-0.050314465408805,0.0587002096436058,,,0.005241090146750524,-0.07232704402515723,
2021-01-28,952.0,962.0,946.0,962.0,28800.0,942.9505004882812,958.2,959.4,,,,False,False,False,False,False,False,False,False,False,False,False,0.012474012474012475,0.009355509355509356,-0.0187110187110187,0.0498960498960499,,,-0.006237006237006237,-0.08731808731808732,
2021-01-29,953.0,953.0,940.0,942.0,24300.0,923.3465576171876,954.8,957.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.029723991507430998,0.03184713375796178,0.0,0.0530785562632696,,,0.022292993630573247,-0.06794055201698514,
2021-02-01,935.0,949.0,935.0,941.0,19100.0,922.3663330078124,951.0,954.9,,,,False,False,False,False,False,False,False,False,False,False,False,0.03506907545164718,0.022316684378320937,0.0031880977683315,0.0233793836344314,,,0.040382571732199786,-0.07970244420828905,
2021-02-02,940.0,958.0,940.0,955.0,10000.0,936.089111328125,950.8,954.7,,,,False,False,False,False,False,False,False,False,False,False,False,0.02931937172774869,0.019895287958115182,-0.0083769633507853,0.0178010471204188,,,0.025130890052356022,-0.09738219895287958,
2021-02-03,955.0,963.0,955.0,959.0,18700.0,940.0098876953124,951.8,954.9,,,,False,False,False,False,False,False,False,False,False,False,False,0.021897810218978103,0.006256517205422315,0.0,0.0062565172054223,,,0.020855057351407715,-0.0886339937434828,
2021-02-04,959.0,981.0,959.0,974.0,47100.0,954.712890625,954.2,956.2,,,,False,False,False,False,False,False,False,False,False,False,False,-0.003080082135523614,-0.021560574948665298,-0.0184804928131416,0.0030800821355236,,,0.018480492813141684,-0.08008213552361396,
2021-02-05,970.0,974.0,966.0,970.0,19700.0,950.7921142578124,959.8,957.3,,,,False,False,False,False,False,False,False,False,False,False,False,0.002061855670103093,-0.010309278350515464,-0.0072164948453608,-0.0061855670103092,,,0.0711340206185567,-0.0979381443298969,
2021-02-08,982.0,983.0,970.0,974.0,26600.0,954.712890625,966.4,958.7,962.64,,,False,False,False,False,False,False,False,False,False,False,False,-0.012320328542094456,-0.027720739219712527,0.0051334702258726,-0.0010266940451745,0.011663244353182766,,0.06570841889117043,-0.09856262833675565,
2021-02-09,975.0,983.0,963.0,983.0,15900.0,963.53466796875,972.0,961.4,963.6,,,False,False,False,False,False,False,True,False,False,False,False,-0.009155645981688708,-0.04170905391658189,-0.0040691759918616,-0.0356052899287894,0.01973550356052897,,0.04781281790437437,-0.11088504577822991,
2021-02-10,984.0,985.0,973.0,980.0,23200.0,960.5940551757812,976.2,964.0,964.56,,,False,False,False,False,False,False,True,False,False,True,False,-0.015306122448979591,-0.07551020408163266,-0.0010204081632653,-0.0346938775510204,0.01575510204081638,,0.0336734693877551,-0.11326530612244898,
