日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価,出来高変化率,25日平均変動率,25日平均変動率差,75日平均変動率差
2016-04-20,14000.0,15400.0,13010.0,14300.0,255800.0,14300.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.2972027972027972,0.1279720279720279,,,,,-0.1258741258741259,-0.2328671328671328,,,,,1.0,,,
2016-04-21,14600.0,14990.0,11630.0,12620.0,205900.0,12620.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.2757527733755943,0.2805071315372425,,,,,-0.0126782884310618,-0.3462757527733756,,,,,0.8049257232212667,,,
2016-04-22,12800.0,13740.0,12310.0,13340.0,113900.0,13340.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.1731634182908545,0.1461769115442278,,,,,-0.0629685157421289,-0.4227886056971514,,,,,0.5531811559009228,,,
2016-04-25,13800.0,16340.0,13130.0,16340.0,260800.0,16340.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0642594859241126,-0.1126070991432068,,,,,-0.1456548347613219,-0.5189718482252142,,,,,2.28972783143108,,,
2016-04-26,16740.0,20190.0,16500.0,19000.0,951200.0,19000.0,15120.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1605263157894736,-0.29,,,,,-0.2705263157894736,-0.5957894736842105,,,,,3.647239263803681,,,
2016-04-27,20000.0,20390.0,18130.0,18550.0,243200.0,18550.0,15970.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1304582210242587,-0.3013477088948787,,,,,-0.2183288409703504,-0.5951482479784367,,,,,0.255677039529016,,,
2016-04-28,18000.0,18000.0,15560.0,16100.0,129200.0,16100.0,16666.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0037267080745341,-0.2596273291925466,,,,,-0.1124223602484472,-0.5341614906832298,,,,,0.53125,,,
2016-05-02,15320.0,16560.0,15210.0,15650.0,74000.0,15650.0,17128.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0230031948881789,-0.1597444089456869,,,,,-0.0702875399361022,-0.5297124600638977,,,,,0.5727554179566563,,,
2016-05-06,15990.0,15990.0,15030.0,15290.0,24700.0,15290.0,16918.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0516677567037279,-0.0752125572269457,,,,,0.1478090255068672,-0.5081752779594506,,,,,0.3337837837837837,,,
2016-05-09,14960.0,15990.0,13840.0,15950.0,37500.0,15950.0,16308.0,15714.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1542319749216301,-0.1253918495297805,,,,,0.1711598746081504,-0.5467084639498433,,-0.4935726104110984,,,1.5182186234817814,,,
2016-05-10,15740.0,17580.0,15530.0,16130.0,123800.0,16130.0,15824.0,15897.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1965282083075015,-0.180409175449473,,,,,0.0216986980781153,-0.5573465592064476,,-0.5234949990564257,,,3.301333333333333,,,
2016-05-11,17620.0,17960.0,16160.0,16160.0,91000.0,16160.0,15836.0,16251.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.2623762376237624,-0.2110148514851485,,,,,-0.0377475247524752,-0.5711633663366337,,-0.5419974155436589,,,0.7350565428109854,,,
2016-05-12,15760.0,15930.0,14980.0,15290.0,41700.0,15290.0,15764.0,16446.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1399607586657946,-0.1890124264224983,,,,,-0.0732504905166775,-0.5480706344015697,,-0.5522315456645993,,,0.4582417582417582,,,
2016-05-13,14990.0,15190.0,14400.0,14500.0,28300.0,14500.0,15606.0,16262.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0248275862068965,-0.1544827586206896,,,,,-0.1,-0.4917241379310345,,-0.550178329848727,,,0.6786570743405276,,,
2016-05-16,15100.0,15400.0,13000.0,13490.0,50800.0,13490.0,15114.0,15711.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0340993328391401,-0.0696812453669384,,,,,-0.050407709414381,-0.4662713120830244,,-0.5374578320921647,,,1.795053003533569,,,
2016-05-17,12890.0,13890.0,12850.0,12960.0,30000.0,12960.0,14480.0,15152.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0200617283950617,-0.0354938271604938,,,,,0.0455246913580246,-0.4621913580246913,,-0.5239572333685322,,,0.5905511811023622,,,
2016-05-18,13260.0,13720.0,11100.0,11920.0,31300.0,11920.0,13632.0,14734.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0696308724832214,0.0453020134228187,,,,,0.0486577181208053,-0.412751677852349,,-0.5138455273517035,,,1.0433333333333332,,,
2016-05-19,12220.0,13230.0,12060.0,13150.0,23700.0,13150.0,13204.0,14484.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0570342205323193,-0.0494296577946768,,,,,-0.0045627376425855,-0.467680608365019,,-0.5079397956365644,,,0.7571884984025559,,,
