日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率
2021-01-04,2631.0,2631.0,2462.0,2528.0,58000.0,2528.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.12341772151898735,0.14003164556962025,0.13924050632911392,0.37460443037974683
2021-01-05,2490.0,2577.0,2468.0,2520.0,63400.0,2520.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.14682539682539683,0.15753968253968254,0.1488095238095238,0.3353174603174603
2021-01-06,2533.0,2565.0,2495.0,2518.0,41800.0,2518.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.13105639396346305,0.15250198570293885,0.15091342335186655,0.31850675138999207
2021-01-07,2560.0,2586.0,2504.0,2508.0,60100.0,2508.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.13955342902711323,0.14752791068580542,0.180622009569378,0.37161084529505584
2021-01-08,2529.0,2629.0,2513.0,2629.0,73100.0,2629.0,2540.6,,,,,False,False,False,False,False,False,False,False,False,False,False,0.06352225180677064,0.11259033853176112,0.1293267402054013,0.2894636744009129
2021-01-12,2677.0,2852.0,2662.0,2840.0,163600.0,2840.0,2603.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.014788732394366197,0.01056338028169014,0.1056338028169014,0.17253521126760563
2021-01-13,2879.0,2948.0,2802.0,2890.0,119800.0,2890.0,2677.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.009342560553633217,-0.031141868512110725,0.07439446366782007,0.15570934256055363
2021-01-14,2984.0,3000.0,2809.0,2848.0,143400.0,2848.0,2743.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.018960674157303372,-0.009831460674157303,0.13588483146067415,0.17099719101123595
2021-01-15,2868.0,2930.0,2820.0,2858.0,90600.0,2858.0,2813.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.006997900629811057,-0.061931420573827854,0.10916724982505248,0.15815255423372987
2021-01-18,2820.0,2823.0,2755.0,2796.0,70100.0,2796.0,2846.4,2693.5,,,,False,False,False,False,False,False,False,False,False,False,False,0.046137339055793994,-0.00357653791130186,0.10157367668097282,0.1713161659513591
2021-01-19,2830.0,2924.0,2830.0,2882.0,68400.0,2882.0,2854.8,2728.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.004163775156141568,-0.0006939625260235947,0.09299097848716169,0.1693268563497571
2021-01-20,2932.0,2972.0,2883.0,2917.0,44800.0,2917.0,2860.2,2768.6,,,,False,False,False,False,False,False,False,False,False,False,False,-0.04010970174837161,-0.0075419952005485085,0.03188207062050052,0.1501542680836476
2021-01-21,2917.0,2939.0,2852.0,2902.0,63600.0,2902.0,2871.0,2807.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.028256374913852515,-0.0013783597518952446,0.03893866299104066,0.15609924190213645
2021-01-22,2910.0,2946.0,2877.0,2878.0,43700.0,2878.0,2875.0,2844.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0684503127171647,0.028839471855455177,0.09798471160528145,0.14489228630993745
2021-01-25,2900.0,2979.0,2895.0,2925.0,59700.0,2925.0,2900.8,2873.6,,,,False,False,False,False,False,False,False,False,False,False,False,-0.04752136752136752,0.015042735042735043,0.04957264957264957,0.07008547008547009
2021-01-26,2925.0,2927.0,2836.0,2870.0,63400.0,2870.0,2898.4,2876.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.003484320557491289,0.09407665505226481,0.11498257839721254,0.10975609756097561
2021-01-27,2902.0,2937.0,2766.0,2800.0,87900.0,2800.0,2875.0,2867.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.033928571428571426,0.10892857142857143,0.09821428571428571,0.175
2021-01-28,2709.0,2851.0,2700.0,2820.0,130300.0,2820.0,2858.6,2864.8,,,,False,False,False,False,False,False,False,False,False,False,False,0.027659574468085105,0.14716312056737588,0.17553191489361702,0.14716312056737588
2021-01-29,2819.0,2846.0,2680.0,2681.0,73500.0,2681.0,2819.2,2847.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.10443864229765012,0.1823946288698247,0.21596419246549795,0.22528907124207384
2021-02-01,2657.0,2793.0,2629.0,2786.0,61000.0,2786.0,2791.4,2846.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.06568557071069633,0.10552763819095477,0.24192390524048815,0.1665470208183776
2021-02-02,2786.0,2880.0,2770.0,2880.0,48500.0,2880.0,2793.4,2845.9,,,,False,False,False,False,False,False,False,False,False,False,False,0.09027777777777778,0.09375,0.2065972222222222,0.16666666666666666
2021-02-03,2906.0,2928.0,2851.0,2895.0,49000.0,2895.0,2812.4,2843.7,,,,False,False,False,False,False,False,False,False,False,False,False,0.07253886010362694,0.039723661485319514,0.16234887737478412,0.18652849740932642
2021-02-04,2918.0,2918.0,2869.0,2898.0,35000.0,2898.0,2828.0,2843.3,,,,False,False,False,False,False,False,False,False,False,False,False,0.11628709454796411,0.040372670807453416,0.1456176673567978,0.21463077984817117
2021-02-05,2912.0,2970.0,2895.0,2961.0,60000.0,2961.0,2884.0,2851.6,,,,False,False,False,False,False,False,False,False,False,False,True,0.07058426207362378,0.06720702465383316,0.16176967240797027,0.1415062478892266
2021-02-08,2998.0,3030.0,2936.0,2969.0,80600.0,2969.0,2920.6,2856.0,2799.96,,,False,False,False,False,False,False,False,False,False,False,False,0.03738632536207477,0.03401818794206803,0.1417985853822836,0.1468507915122937
2021-02-09,2968.0,3160.0,2854.0,3140.0,187100.0,3140.0,2972.6,2883.0,2824.44,,,False,False,False,False,False,False,True,False,False,False,False,0.0031847133757961785,0.01910828025477707,0.06050955414012739,0.050955414012738856
2021-02-10,3100.0,3180.0,3050.0,3105.0,62100.0,3105.0,3014.6,2913.5,2847.84,,,False,False,False,False,False,False,True,False,False,True,False,-0.030595813204508857,-0.00966183574879227,0.07568438003220612,0.05475040257648953
2021-02-12,3175.0,3270.0,3150.0,3235.0,84900.0,3235.0,3082.0,2955.0,2876.52,,,False,False,False,False,False,False,True,False,False,False,False,-0.06800618238021638,0.02472952086553323,0.030911901081916538,0.00463678516228748
2021-02-15,3270.0,3315.0,3160.0,3170.0,67300.0,3170.0,3123.8,3003.9,2903.0,,,False,False,False,False,False,False,True,False,False,True,False,-0.0031545741324921135,0.028391167192429023,0.04416403785488959,0.033123028391167195
2021-02-16,3190.0,3190.0,3040.0,3080.0,60500.0,3080.0,3146.0,3033.3,2921.04,,,False,False,False,False,False,False,True,False,False,True,False,-0.003246753246753247,0.12337662337662338,0.0633116883116883,0.06493506493506493
2021-02-17,3045.0,3150.0,3020.0,3150.0,48100.0,3150.0,3148.0,3060.3,2933.44,,,False,False,False,False,False,False,True,False,False,True,False,0.015873015873015872,0.10317460317460317,0.06984126984126984,0.06666666666666667
2021-02-18,3120.0,3120.0,3000.0,3010.0,54000.0,3010.0,3129.0,3071.8,2938.24,,,False,False,False,False,False,False,True,False,False,True,False,0.02159468438538206,0.11794019933554817,0.11461794019933555,0.1644518272425249
2021-02-19,2985.0,3085.0,2985.0,3015.0,36900.0,3015.0,3085.0,3083.5,2944.92,,,False,False,False,False,False,False,True,False,False,False,False,0.09950248756218906,0.1011608623548922,0.11276948590381426,0.1890547263681592
2021-02-22,3085.0,3220.0,3070.0,3160.0,83500.0,3160.0,3083.0,3103.4,2957.0,,,False,False,False,False,False,False,True,False,False,False,False,0.03164556962025317,0.08860759493670886,0.04272151898734177,0.12183544303797468
2021-02-24,3150.0,3150.0,3055.0,3070.0,46700.0,3070.0,3081.0,3113.5,2967.96,,,False,False,False,False,False,False,True,False,False,True,False,0.1270358306188925,0.10423452768729642,0.019543973941368076,0.10097719869706841
2021-02-25,3140.0,3275.0,3125.0,3200.0,166600.0,3200.0,3091.0,3119.5,2980.68,,,False,False,False,False,False,False,True,False,False,False,False,0.0859375,0.040625,-0.0046875,0.0828125
2021-02-26,3140.0,3150.0,3050.0,3075.0,68300.0,3075.0,3104.0,3116.5,2987.0,,,False,False,False,False,False,False,True,False,False,True,False,0.0943089430894309,0.08617886178861789,0.06991869918699187,0.1024390243902439
2021-03-01,3180.0,3340.0,3160.0,3315.0,130100.0,3315.0,3164.0,3124.5,3003.52,,,False,False,False,False,False,False,True,False,False,False,True,0.0015082956259426848,0.006033182503770739,-0.024132730015082957,0.03167420814479638
2021-03-02,3360.0,3415.0,3210.0,3260.0,97600.0,3260.0,3184.0,3133.5,3018.8,,,False,False,False,False,False,False,True,False,False,True,False,0.05521472392638037,0.015337423312883436,0.007668711656441718,0.046012269938650305
2021-03-03,3300.0,3470.0,3260.0,3460.0,133200.0,3460.0,3262.0,3171.5,3040.2,,,False,False,False,False,False,False,True,False,False,False,False,-0.02023121387283237,-0.05346820809248555,-0.06069364161849711,-0.011560693641618497
2021-03-04,3430.0,3575.0,3420.0,3475.0,113600.0,3475.0,3317.0,3204.0,3064.4,,,False,False,False,False,False,False,True,False,False,False,False,-0.041726618705035974,-0.030215827338129497,-0.033093525179856115,-0.015827338129496403
2021-03-05,3440.0,3440.0,3265.0,3365.0,82500.0,3365.0,3375.0,3239.5,3087.0,,,False,False,False,False,False,False,True,False,False,True,False,-0.007429420505200594,-0.0029717682020802376,0.020802377414561663,0.04903417533432392
2021-03-08,3430.0,3450.0,3280.0,3320.0,59600.0,3320.0,3376.0,3270.0,3107.0,,,False,False,False,False,False,False,True,False,False,True,False,0.004518072289156626,0.010542168674698794,0.060240963855421686,0.07680722891566265
2021-03-09,3360.0,3455.0,3285.0,3440.0,64200.0,3440.0,3412.0,3298.0,3137.36,,,False,False,False,False,False,False,True,False,False,False,False,-0.0377906976744186,-0.04215116279069767,-0.01744186046511628,0.04941860465116279
2021-03-10,3470.0,3490.0,3380.0,3390.0,53300.0,3390.0,3398.0,3330.0,3161.52,,,False,False,False,False,False,False,True,False,False,True,False,-0.03392330383480826,-0.07669616519174041,0.004424778761061947,0.032448377581120944
2021-03-11,3390.0,3395.0,3295.0,3330.0,60200.0,3330.0,3369.0,3343.0,3179.52,,,False,False,False,False,False,False,True,False,False,True,False,0.012012012012012012,-0.04354354354354354,-0.009009009009009009,0.01951951951951952
2021-03-12,3330.0,3375.0,3285.0,3340.0,69300.0,3340.0,3364.0,3369.5,3197.32,,,False,False,False,False,False,False,True,False,False,True,False,0.004491017964071856,-0.014970059880239521,-0.019461077844311378,0.041916167664670656
2021-03-15,3340.0,3440.0,3290.0,3335.0,70000.0,3335.0,3367.0,3371.5,3214.8,,,False,False,False,False,False,False,True,False,False,True,False,0.005997001499250375,-0.029985007496251874,-0.025487256371814093,0.01649175412293853
2021-03-16,3335.0,3395.0,3220.0,3310.0,109000.0,3310.0,3341.0,3376.5,3228.76,,,False,False,False,False,False,False,True,False,False,True,False,-0.004531722054380665,-0.0075528700906344415,-0.010574018126888218,0.021148036253776436
2021-03-17,3325.0,3350.0,3270.0,3275.0,42800.0,3275.0,3318.0,3358.0,3241.0,,,False,False,False,False,False,False,True,False,False,True,False,-0.044274809160305344,-0.007633587786259542,0.0015267175572519084,0.07938931297709924
2021-03-18,3330.0,3395.0,3305.0,3370.0,71100.0,3370.0,3326.0,3347.5,3250.2,,,False,False,False,False,False,False,True,False,False,True,False,-0.05489614243323442,-0.002967359050445104,-0.002967359050445104,0.01483679525222552
2021-03-19,3275.0,3385.0,3255.0,3355.0,60800.0,3355.0,3329.0,3346.5,3260.2,,,False,False,False,False,False,False,True,False,False,False,False,-0.019374068554396422,0.02384500745156483,0.044709388971684055,0.028315946348733235
2021-03-22,3380.0,3415.0,3310.0,3355.0,50400.0,3355.0,3333.0,3350.0,3265.0,,,False,False,False,False,False,False,True,False,False,True,False,-0.03576751117734724,0.04918032786885246,0.06855439642324888,0.040238450074515646
2021-03-23,3390.0,3405.0,3295.0,3295.0,50000.0,3295.0,3330.0,3335.5,3270.0,,,False,False,False,False,False,False,True,False,False,False,False,-0.0030349013657056147,0.025796661608497723,0.07587253414264036,0.051593323216995446
2021-03-24,3215.0,3215.0,3100.0,3130.0,94500.0,3130.0,3301.0,3309.5,3272.0,,,False,False,False,False,False,False,True,False,False,True,False,0.038338658146964855,0.0878594249201278,0.07987220447284345,0.09105431309904154
2021-03-25,3130.0,3210.0,3105.0,3185.0,44400.0,3185.0,3264.0,3295.0,3273.4,,,False,False,False,False,False,False,True,False,False,True,False,0.054945054945054944,0.03610675039246468,0.08791208791208792,0.09576138147566719
2021-03-26,3250.0,3310.0,3240.0,3290.0,36200.0,3290.0,3251.0,3290.0,3284.6,,,False,False,False,False,False,False,True,False,True,False,False,0.044072948328267476,-0.004559270516717325,0.030395136778115502,0.05927051671732523
2021-03-29,3330.0,3380.0,3185.0,3235.0,60000.0,3235.0,3227.0,3280.0,3293.4,,,False,False,False,False,False,False,True,False,False,True,False,0.08809891808346214,0.00463678516228748,0.0571870170015456,0.11128284389489954
2021-03-30,3165.0,3290.0,3165.0,3285.0,43200.0,3285.0,3225.0,3277.5,3298.4,,,False,False,False,False,False,False,True,False,False,True,False,0.0289193302891933,-0.0030441400304414,0.0380517503805175,0.1385083713850837
2021-03-31,3290.0,3310.0,3235.0,3250.0,52500.0,3250.0,3249.0,3275.0,3305.6,,,False,False,False,False,False,False,True,False,False,False,False,0.047692307692307694,0.009230769230769232,0.052307692307692305,0.21384615384615385
2021-04-01,3280.0,3420.0,3280.0,3360.0,89300.0,3360.0,3284.0,3274.0,3312.0,,,False,False,False,True,True,False,True,False,False,True,False,-0.017857142857142856,0.0,0.017857142857142856,0.18303571428571427
2021-04-02,3390.0,3450.0,3320.0,3435.0,87300.0,3435.0,3313.0,3282.0,3326.4,,,False,False,False,False,False,False,True,False,False,False,True,-0.046579330422125184,0.020378457059679767,0.027656477438136828,0.17612809315866085
2021-04-05,3480.0,3560.0,3450.0,3520.0,101300.0,3520.0,3370.0,3298.5,3334.6,,,False,False,False,False,False,False,True,False,False,True,False,-0.07670454545454546,0.018465909090909092,0.015625,0.19886363636363635
2021-04-06,3500.0,3500.0,3345.0,3380.0,79900.0,3380.0,3389.0,3307.0,3339.4,,,False,False,False,False,False,False,True,False,False,True,False,-0.03106508875739645,0.04881656804733728,0.06804733727810651,0.23816568047337278
2021-04-07,3365.0,3430.0,3365.0,3405.0,36200.0,3405.0,3420.0,3334.5,3337.2,,,False,False,False,False,False,False,False,False,False,True,False,-0.03671071953010279,-0.007342143906020558,0.027900146842878122,0.20851688693098386
2021-04-08,3375.0,3410.0,3260.0,3300.0,64200.0,3300.0,3408.0,3346.0,3330.2,,,False,False,False,False,False,True,False,False,False,True,False,0.01818181818181818,0.05,0.02878787878787879,0.19696969696969696
2021-04-09,3335.0,3335.0,3270.0,3275.0,27400.0,3275.0,3376.0,3344.5,3326.6,,,False,False,False,False,False,False,False,False,False,False,False,0.07022900763358779,0.035114503816793895,0.06259541984732825,0.28396946564885495
2021-04-12,3275.0,3320.0,3225.0,3250.0,42100.0,3250.0,3322.0,3346.0,3323.8,,,False,False,False,False,False,False,False,False,False,False,False,0.10307692307692308,0.052307692307692305,0.043076923076923075,0.36923076923076925
2021-04-13,3235.0,3330.0,3225.0,3275.0,28100.0,3275.0,3301.0,3345.0,3317.2,,,False,False,False,False,False,False,False,False,False,True,False,0.08244274809160305,0.04122137404580153,0.03206106870229008,0.4916030534351145
2021-04-14,3280.0,3280.0,3225.0,3280.0,25100.0,3280.0,3276.0,3348.0,3312.8,,,False,False,False,False,False,False,False,False,False,False,False,0.03048780487804878,0.042682926829268296,0.07774390243902439,0.4557926829268293
2021-04-15,3295.0,3380.0,3295.0,3360.0,34700.0,3360.0,3288.0,3348.0,3314.0,,,False,False,False,False,True,False,True,False,False,False,False,0.03125,0.017857142857142856,0.017857142857142856,0.46130952380952384
2021-04-16,3450.0,3615.0,3445.0,3505.0,219100.0,3505.0,3334.0,3355.0,3320.6,,,False,False,False,False,False,False,True,False,True,False,True,-0.03281027104136947,0.007132667617689016,-0.015691868758915834,0.47218259629101283
