日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率
2021-01-04,1105.0,1106.0,1086.0,1093.0,350700.0,1061.7205810546875,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.004574565416285453,-0.039341262580054895,-0.06678865507776761,-0.17200365965233302
2021-01-05,1079.0,1103.0,1071.0,1099.0,298200.0,1067.548828125,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.01091901728844404,-0.048225659690627844,-0.0746132848043676,-0.17288444040036396
2021-01-06,1100.0,1129.0,1094.0,1119.0,364400.0,1086.9764404296875,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0160857908847185,-0.06881143878462913,-0.09651474530831099,-0.1778373547810545
2021-01-07,1109.0,1114.0,1093.0,1097.0,511800.0,1065.6060791015625,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.027347310847766638,-0.0674567000911577,-0.08021877848678213,-0.15679124886052873
2021-01-08,1100.0,1125.0,1097.0,1116.0,425100.0,1084.0623779296875,1104.8,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.07078853046594982,-0.08602150537634409,-0.12813620071684587,-0.17114695340501793
2021-01-12,1100.0,1115.0,1084.0,1098.0,527200.0,1066.5775146484375,1105.8,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.04371584699453552,-0.08105646630236794,-0.07741347905282331,-0.13934426229508196
2021-01-13,1098.0,1113.0,1098.0,1111.0,386300.0,1079.2054443359375,1108.2,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.05850585058505851,-0.09450945094509451,-0.10171017101710171,-0.13681368136813682
2021-01-14,1105.0,1120.0,1092.0,1101.0,607600.0,1069.4915771484375,1104.6,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.053587647593097185,-0.07175295186194369,-0.09173478655767484,-0.12079927338782924
2021-01-15,1088.0,1108.0,1066.0,1067.0,486700.0,1036.464599609375,1098.6,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.041237113402061855,-0.05998125585754452,-0.07029053420805999,-0.07778819119025304
2021-01-18,1055.0,1055.0,1033.0,1037.0,432600.0,1007.3231811523438,1082.8,1093.8,,,,False,False,False,False,False,False,False,False,False,False,False,-0.01639344262295082,-0.033751205400192864,-0.044358727097396335,-0.048216007714561235
2021-01-19,1040.0,1059.0,1040.0,1050.0,220900.0,1019.9511108398438,1073.2,1089.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.039047619047619046,-0.02857142857142857,-0.06952380952380953,-0.0419047619047619
2021-01-20,1054.0,1069.0,1044.0,1046.0,255900.0,1016.0656127929688,1060.2,1084.2,,,,False,False,False,False,False,False,False,False,False,False,False,-0.03824091778202677,-0.027724665391969407,-0.10038240917782026,-0.0248565965583174
2021-01-21,1053.0,1064.0,1041.0,1042.0,251000.0,1012.1800537109376,1048.4,1076.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.019193857965451054,-0.029750479846449136,-0.09500959692898273,-0.02399232245681382
2021-01-22,1043.0,1049.0,1021.0,1023.0,255400.0,993.7238159179688,1039.6,1069.1,,,,False,False,False,False,False,False,False,False,False,False,False,-0.019550342130987292,-0.013685239491691105,-0.08406647116324535,-0.006842619745845552
2021-01-25,1021.0,1026.0,1015.0,1020.0,283300.0,990.8096923828124,1036.2,1059.5,,,,False,False,False,False,False,False,False,False,False,False,False,-0.01764705882352941,-0.04607843137254902,-0.1,-0.010784313725490196
2021-01-26,1020.0,1031.0,1005.0,1009.0,274400.0,980.1244506835938,1028.0,1050.6,,,,False,False,False,False,False,False,False,False,False,False,False,0.010901883052527254,0.003964321110009911,-0.07631318136769079,-0.01288404360753221
2021-01-27,1017.0,1028.0,1004.0,1006.0,403800.0,977.2103271484376,1020.0,1040.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.010934393638170975,-0.007952286282306162,-0.09840954274353876,0.0009940357852882703
2021-01-28,1000.0,1022.0,987.0,1022.0,438400.0,992.75244140625,1016.0,1032.2,,,,False,False,False,False,False,False,False,False,False,False,False,-0.010763209393346379,-0.021526418786692758,-0.09686888454011741,-0.008806262230919765
2021-01-29,1013.0,1029.0,1000.0,1003.0,369800.0,974.296142578125,1012.0,1025.8,,,,False,False,False,False,False,False,False,False,False,False,False,0.005982053838484547,-0.010967098703888335,-0.08075772681954138,-0.01794616151545364
2021-02-01,998.0,1008.0,988.0,1002.0,396700.0,973.3247680664062,1008.4,1022.3,,,,False,False,False,False,False,False,False,False,False,False,False,-0.028942115768463075,-0.010978043912175649,-0.08283433133732535,-0.038922155688622756
2021-02-02,1001.0,1023.0,998.0,1020.0,359000.0,990.8096923828124,1010.6,1019.3,,,,False,False,False,False,False,False,False,False,False,False,False,-0.006862745098039216,-0.04215686274509804,-0.11274509803921569,-0.04607843137254902
2021-02-03,1033.0,1044.0,1017.0,1017.0,354700.0,987.8955078125,1012.8,1016.4,,,,False,False,False,False,False,False,False,False,False,False,False,-0.018682399213372666,-0.07472959685349066,-0.10619469026548672,-0.049164208456243856
2021-02-04,1020.0,1026.0,1004.0,1011.0,380500.0,982.0671997070312,1010.6,1013.3,,,,False,False,False,False,False,False,False,False,False,False,False,-0.010880316518298714,-0.06726013847675569,-0.09000989119683482,-0.019782393669634024
2021-02-05,1012.0,1019.0,1003.0,1009.0,686200.0,980.1244506835938,1011.8,1011.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.01684836471754212,-0.07135777998017839,-0.08325074331020813,-0.03270564915758176
2021-02-08,980.0,993.0,959.0,973.0,1016900.0,945.1547241210938,1006.0,1007.2,1047.64,,,False,False,False,False,False,False,False,False,False,False,False,0.018499486125385406,-0.0565262076053443,-0.04933196300102775,0.008221993833504625
2021-02-09,984.0,1018.0,978.0,1013.0,612800.0,984.010009765625,1004.6,1007.6,1044.44,,,False,False,False,False,False,False,False,False,False,False,False,-0.035538005923000986,-0.07996051332675222,-0.06712734452122408,-0.02665350444225074
2021-02-10,1020.0,1020.0,998.0,998.0,375700.0,969.4392700195312,1000.8,1006.8,1040.4,,,False,False,False,False,False,False,False,False,False,True,False,-0.05711422845691383,-0.09118236472945891,-0.03907815631262525,-0.008016032064128256
2021-02-12,1013.0,1014.0,995.0,1000.0,338500.0,971.3820190429688,998.6,1004.6,1035.64,,,False,False,False,False,False,False,False,False,False,True,False,-0.057,-0.077,-0.032,-0.017
2021-02-15,1009.0,1009.0,989.0,992.0,213900.0,963.6109619140624,995.2,1003.5,1031.44,,,False,False,False,False,False,False,False,False,False,False,False,-0.055443548387096774,-0.07056451612903226,-0.008064516129032258,-0.025201612903225805
2021-02-16,998.0,1001.0,989.0,991.0,222800.0,962.6395874023438,998.8,1002.4,1026.44,,,False,False,False,False,False,False,False,False,False,True,False,-0.07366296670030273,-0.07265388496468214,-0.004036326942482341,-0.020181634712411706
2021-02-17,979.0,987.0,971.0,977.0,365800.0,949.0402221679688,991.6,998.1,1021.6,,,False,False,False,False,False,False,False,False,False,False,False,-0.04605936540429888,-0.0736949846468782,0.02968270214943705,0.006141248720573183
2021-02-18,975.0,982.0,941.0,941.0,565900.0,914.0704956054688,980.2,990.5,1014.8,,,False,False,False,False,False,False,False,False,False,True,False,-0.036131774707757705,-0.03400637619553666,0.08395324123273114,0.04675876726886291
2021-02-19,936.0,945.0,932.0,943.0,317800.0,916.0132446289062,968.8,983.7,1008.48,,,False,False,False,False,False,False,False,False,False,False,False,-0.021208907741251327,-0.024390243902439025,0.0784729586426299,0.053022269353128315
2021-02-22,939.0,942.0,924.0,937.0,472500.0,910.1849365234376,957.8,976.5,1003.28,,,False,False,False,False,False,False,False,False,False,False,False,-0.016008537886873,-0.012806830309498399,0.08431163287086446,0.07257203842049093
2021-02-24,933.0,942.0,918.0,918.0,501500.0,891.7286987304688,943.2,971.0,998.52,,,False,False,False,False,False,False,False,False,False,False,False,0.0010893246187363835,0.007625272331154684,0.09912854030501089,0.08387799564270153
2021-02-25,926.0,934.0,921.0,932.0,395900.0,905.3280639648438,934.2,962.9,993.8,,,False,False,False,False,False,False,False,False,False,False,False,-0.028969957081545063,0.013948497854077254,0.06866952789699571,0.08583690987124463
2021-02-26,912.0,919.0,902.0,907.0,484800.0,881.0435180664062,927.4,953.8,988.24,,,False,False,False,False,False,False,False,False,False,True,False,0.002205071664829107,0.05733186328555678,0.11025358324145534,0.10474090407938258
2021-03-01,912.0,923.0,909.0,923.0,237400.0,896.5856323242188,923.4,946.1,983.48,,,False,False,False,False,False,False,False,False,False,False,False,-0.0032502708559046588,0.04875406283856988,0.09750812567713976,0.08884073672806067
2021-03-02,936.0,942.0,920.0,922.0,486100.0,895.6141967773438,920.4,939.1,979.44,,,False,False,False,False,False,False,False,False,False,False,False,0.0032537960954446853,0.06724511930585683,0.06832971800433839,0.0737527114967462
2021-03-03,924.0,925.0,916.0,919.0,313200.0,892.7000732421875,920.6,931.9,975.4,,,False,False,False,False,False,False,False,False,False,True,False,0.006528835690968444,0.07399347116430903,0.04787812840043525,0.06964091403699674
2021-03-04,910.0,918.0,900.0,905.0,367900.0,879.1007080078125,915.2,924.7,971.24,,,False,False,False,False,False,False,False,False,False,True,False,0.04419889502762431,0.11160220994475138,0.07513812154696133,0.09834254143646409
2021-03-05,892.0,909.0,888.0,909.0,406100.0,882.9862670898438,915.6,921.5,967.36,,,False,False,False,False,False,False,False,False,False,False,False,0.05500550055005501,0.12211221122112212,0.0638063806380638,0.11001100110011001
2021-03-08,919.0,923.0,910.0,920.0,393000.0,893.6714477539062,915.0,919.2,963.28,,,False,False,False,False,False,False,False,False,False,True,False,0.05217391304347826,0.10543478260869565,0.07717391304347826,0.09565217391304348
2021-03-09,919.0,926.0,915.0,925.0,397300.0,898.5283813476562,915.6,918.0,960.16,,,False,False,False,False,False,False,False,False,False,False,False,0.06378378378378378,0.09837837837837837,0.055135135135135134,0.10918918918918918
2021-03-10,939.0,939.0,924.0,925.0,404500.0,898.5283813476562,916.8,918.7,957.08,,,False,False,False,False,False,False,False,False,False,False,False,0.06702702702702702,0.09081081081081081,0.06054054054054054,0.11135135135135135
2021-03-11,925.0,947.0,925.0,945.0,385300.0,917.9559936523438,924.8,920.0,954.08,,,False,False,False,False,False,False,False,False,False,False,False,0.06455026455026455,0.05396825396825397,0.04338624338624339,0.09523809523809523
2021-03-12,950.0,959.0,944.0,959.0,560800.0,931.5553588867188,934.8,925.2,951.76,,,False,False,False,False,True,False,False,False,False,False,True,0.06360792492179354,0.05005213764337852,0.03232533889468196,0.05943691345151199
2021-03-15,965.0,975.0,961.0,968.0,414300.0,940.2977905273438,944.4,929.7,950.04,,,False,False,False,False,False,False,False,False,False,False,False,0.0506198347107438,0.04648760330578512,0.015495867768595042,0.03615702479338843
2021-03-16,959.0,985.0,957.0,984.0,440600.0,955.8399047851562,956.2,935.9,949.04,,,False,False,False,False,False,False,False,False,False,False,False,0.032520325203252036,0.0010162601626016261,-0.017276422764227643,-0.023373983739837397
2021-03-17,984.0,997.0,981.0,987.0,315900.0,958.7540283203124,968.6,942.7,949.6,,,False,False,False,False,False,False,True,False,False,False,False,0.022289766970618033,-0.0243161094224924,-0.016210739614994935,-0.03242147922998987
2021-03-18,1002.0,1011.0,1000.0,1006.0,481900.0,977.2103271484376,980.8,952.8,949.32,,,False,False,False,False,False,False,False,False,False,True,False,-0.009940357852882704,-0.032803180914512925,-0.02286282306163022,-0.041749502982107355
2021-03-19,1000.0,1020.0,993.0,1020.0,616600.0,990.8096923828124,993.0,963.9,950.2,,,False,False,False,False,False,False,True,False,False,False,False,-0.012745098039215686,-0.05196078431372549,-0.03431372549019608,-0.03627450980392157
2021-03-22,1016.0,1022.0,1006.0,1017.0,327800.0,987.8955078125,1002.8,973.6,950.88,,,False,False,False,False,False,False,True,False,False,True,False,-0.003933136676499509,-0.025565388397246803,-0.02359882005899705,-0.012782694198623401
2021-03-23,1022.0,1031.0,1016.0,1016.0,376400.0,986.9241333007812,1009.2,982.7,951.84,,,False,False,False,False,False,False,True,False,False,False,False,-0.03051181102362205,-0.03937007874015748,-0.010826771653543307,0.027559055118110236
2021-03-24,1015.0,1024.0,1008.0,1009.0,362100.0,980.1244506835938,1013.6,991.1,952.56,,,False,False,False,False,False,False,True,False,False,True,False,-0.04558969276511397,-0.027750247770069375,-0.013875123885034688,0.05054509415262636
2021-03-25,1000.0,1004.0,987.0,996.0,531600.0,967.4965209960938,1011.6,996.2,953.32,,,False,False,False,False,False,False,True,False,False,False,False,-0.023092369477911646,-0.010040160642570281,0.01606425702811245,0.09437751004016064
2021-03-26,996.0,1010.0,987.0,1007.0,558500.0,978.1817016601562,1009.0,1001.0,955.96,,,False,False,False,False,False,False,True,False,True,False,False,-0.039721946375372394,-0.016881827209533268,-0.004965243296921549,0.08639523336643495
2021-03-29,1010.0,1018.0,1005.0,1013.0,792200.0,984.010009765625,1008.2,1005.5,958.76,,,False,False,False,False,False,False,True,False,False,False,False,-0.02171767028627838,-0.029615004935834157,-0.007897334649555774,0.08588351431391905
2021-03-30,981.0,997.0,980.0,985.0,534800.0,985.0,1002.0,1005.6,960.68,,,False,False,False,False,False,False,True,False,False,True,False,-0.009137055837563452,-0.018274111675126905,0.005076142131979695,0.12385786802030457
2021-03-31,976.0,982.0,959.0,963.0,493500.0,963.0,992.8,1003.2,962.48,,,False,False,False,False,False,False,True,False,False,True,False,0.018691588785046728,0.008307372793354102,0.020768431983385256,0.1754932502596054
2021-04-01,970.0,978.0,964.0,973.0,234600.0,973.0,988.2,999.9,964.12,,,False,False,False,False,False,False,True,False,False,True,False,0.013360739979445015,0.010277492291880781,0.02158273381294964,0.1829393627954779
2021-04-02,971.0,977.0,967.0,967.0,148900.0,967.0,980.2,994.6,966.52,,,False,False,False,False,False,False,True,False,False,False,False,0.023784901758014478,0.01861427094105481,0.04343329886246122,0.1592554291623578
2021-04-05,980.0,996.0,976.0,991.0,268300.0,991.0,975.8,992.0,969.24,,,False,False,False,False,False,False,True,False,False,False,False,-0.008072653884964682,0.0020181634712411706,0.017154389505549948,0.10090817356205853
2021-04-06,999.0,1010.0,976.0,976.0,302300.0,976.0,974.0,988.0,971.4,,,False,False,False,False,False,False,True,False,False,True,False,-0.009221311475409836,0.02971311475409836,0.05122950819672131,0.11885245901639344
