日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2020-08-11,7010.0,8120.0,6670.0,7850.0,485600.0,7850.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,1.2152866242038216,2.4968152866242037,,,,,2.205095541401274,-0.08789808917197452,,
2020-08-12,8420.0,9350.0,8390.0,9350.0,371700.0,9350.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.8823529411764706,2.093048128342246,,,,,1.4267379679144385,-0.2877005347593583,,
2020-08-13,10400.0,10850.0,10250.0,10850.0,108000.0,10850.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.8764976958525346,1.2046082949308756,,,,,1.0248847926267282,-0.3935483870967742,,
2020-08-14,12030.0,13120.0,10910.0,11700.0,1447400.0,11700.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,1.1111111111111112,0.6170940170940171,,,,,0.9153846153846154,-0.44017094017094016,,
2020-08-17,12800.0,14700.0,12530.0,14700.0,886600.0,14700.0,10890.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.7693877551020408,0.5591836734693878,,,,,0.47959183673469385,-0.5306122448979592,,
2020-08-18,15800.0,17700.0,15310.0,17390.0,1555100.0,17390.0,12798.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.5784933870040253,0.4968372627947096,,,,,0.1799884991374353,-0.577343300747556,,
2020-08-19,16590.0,17880.0,15900.0,17600.0,1025400.0,17600.0,14448.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.6431818181818182,0.3977272727272727,,,,,0.13636363636363635,-0.5380681818181818,,
2020-08-20,18400.0,20360.0,17610.0,20360.0,1027900.0,20360.0,16350.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.17485265225933203,0.17779960707269155,,,,,-0.08005893909626718,-0.6512770137524558,,
2020-08-21,19910.0,25360.0,19610.0,24700.0,1825000.0,24700.0,18950.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.2340080971659919,-0.06072874493927125,,,,,-0.21781376518218623,-0.7178137651821862,,
2020-08-24,25200.0,28300.0,23250.0,26010.0,2399500.0,26010.0,21212.0,16051.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.11880046136101499,-0.15993848519800077,,,,,-0.28412149173394846,-0.7289504036908881,,-0.5610865366643822
