Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,638.0,642.0,624.0,640.0,633.147705078125,305100
2021-01-05,640.0,641.0,628.0,631.0,624.2440795898438,238800
2021-01-06,637.0,646.0,627.0,627.0,620.2869262695312,243800
2021-01-07,631.0,632.0,622.0,629.0,622.2655029296875,170300
2021-01-08,626.0,631.0,615.0,620.0,613.3618774414062,294700
2021-01-12,616.0,630.0,610.0,630.0,623.2548217773438,217200
2021-01-13,630.0,635.0,624.0,632.0,625.2333984375,161900
2021-01-14,635.0,674.0,622.0,624.0,617.3190307617188,1296700
2021-01-15,630.0,653.0,628.0,644.0,637.1049194335938,621000
2021-01-18,642.0,645.0,615.0,618.0,611.38330078125,619700
2021-01-19,625.0,634.0,620.0,631.0,624.2440795898438,414600
2021-01-20,639.0,659.0,634.0,645.0,638.0941772460938,736800
2021-01-21,655.0,656.0,639.0,645.0,638.0941772460938,428100
2021-01-22,646.0,666.0,645.0,657.0,649.9656982421875,509700
2021-01-25,659.0,659.0,644.0,651.0,644.0299682617188,418500
2021-01-26,653.0,667.0,646.0,655.0,647.9871215820312,464700
2021-01-27,652.0,660.0,648.0,660.0,652.93359375,220900
2021-01-28,641.0,658.0,635.0,645.0,638.0941772460938,531800
2021-01-29,649.0,650.0,621.0,627.0,620.2869262695312,511000
2021-02-01,620.0,642.0,617.0,638.0,631.1691284179688,238100
2021-02-02,638.0,670.0,638.0,668.0,660.8479614257812,497400
2021-02-03,678.0,692.0,671.0,681.0,673.708740234375,494200
2021-02-04,686.0,687.0,670.0,681.0,673.708740234375,419200
2021-02-05,690.0,690.0,675.0,681.0,673.708740234375,367300
2021-02-08,681.0,687.0,665.0,667.0,659.858642578125,551200
2021-02-09,670.0,684.0,663.0,681.0,673.708740234375,484700
2021-02-10,685.0,694.0,664.0,680.0,672.719482421875,940900
2021-02-12,632.0,635.0,605.0,605.0,598.5224609375,2604300
2021-02-15,610.0,610.0,599.0,600.0,593.5759887695312,850700
2021-02-16,597.0,611.0,582.0,594.0,587.6402587890625,1035100
2021-02-17,591.0,602.0,588.0,598.0,591.597412109375,380800
2021-02-18,603.0,608.0,591.0,592.0,585.6616821289062,411800
2021-02-19,592.0,596.0,566.0,574.0,567.8543701171875,729600
2021-02-22,575.0,578.0,562.0,562.0,555.9828491210938,434700
2021-02-24,555.0,560.0,543.0,553.0,547.0792236328125,644300
2021-02-25,565.0,576.0,561.0,562.0,555.9828491210938,385900
2021-02-26,554.0,562.0,545.0,554.0,548.0684814453125,401600
2021-03-01,556.0,561.0,548.0,560.0,554.0042724609375,189400
2021-03-02,570.0,587.0,539.0,547.0,541.1434326171875,2040200
2021-03-03,548.0,557.0,534.0,539.0,533.2291259765625,692900
2021-03-04,536.0,545.0,523.0,537.0,531.2505493164062,925900
2021-03-05,530.0,544.0,525.0,540.0,534.2183837890625,301600
2021-03-08,548.0,557.0,541.0,547.0,541.1434326171875,357200
2021-03-09,545.0,562.0,535.0,556.0,550.047119140625,570400
2021-03-10,558.0,571.0,556.0,559.0,553.0149536132812,364900
2021-03-11,561.0,569.0,558.0,564.0,557.96142578125,400600
2021-03-12,574.0,584.0,567.0,580.0,573.7901611328125,481800
2021-03-15,585.0,587.0,569.0,582.0,575.7687377929688,444900
