Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,910.0,910.0,910.0,910.0,907.9755249023438,900
2021-01-05,900.0,900.0,900.0,900.0,897.997802734375,100
2021-01-06,900.0,900.0,900.0,900.0,897.997802734375,0
2021-01-07,890.0,900.0,880.0,883.0,881.0355834960938,2100
2021-01-08,898.0,909.0,898.0,909.0,906.977783203125,200
2021-01-12,886.0,890.0,886.0,886.0,884.0289306640625,900
2021-01-13,883.0,890.0,878.0,890.0,888.02001953125,3200
2021-01-14,898.0,898.0,898.0,898.0,896.0022583007812,100
2021-01-15,884.0,899.0,884.0,899.0,897.0,200
2021-01-18,884.0,885.0,873.0,885.0,883.0311279296875,800
2021-01-19,885.0,885.0,885.0,885.0,883.0311279296875,0
2021-01-20,889.0,889.0,889.0,889.0,887.0222778320312,100
2021-01-21,866.0,875.0,851.0,863.0,861.080078125,6500
2021-01-22,869.0,869.0,869.0,869.0,867.0667724609375,100
2021-01-25,880.0,880.0,865.0,870.0,868.0645141601562,900
2021-01-26,856.0,856.0,856.0,856.0,854.0956420898438,1000
2021-01-27,856.0,878.0,855.0,856.0,854.0956420898438,2600
2021-01-28,856.0,856.0,850.0,850.0,848.1090087890625,300
2021-01-29,851.0,851.0,840.0,845.0,843.1201171875,4500
2021-02-01,860.0,860.0,860.0,860.0,858.0867919921875,100
2021-02-02,841.0,855.0,840.0,855.0,853.097900390625,500
2021-02-03,855.0,855.0,855.0,855.0,853.097900390625,0
2021-02-04,863.0,892.0,862.0,892.0,890.0155639648438,2100
2021-02-05,899.0,899.0,899.0,899.0,897.0,100
2021-02-08,899.0,899.0,886.0,891.0,889.017822265625,2600
2021-02-09,886.0,910.0,886.0,910.0,907.9755249023438,1500
2021-02-10,910.0,910.0,910.0,910.0,907.9755249023438,0
2021-02-15,909.0,914.0,864.0,914.0,911.9666137695312,1400
2021-02-16,890.0,899.0,890.0,898.0,896.0022583007812,1100
2021-02-17,898.0,914.0,898.0,900.0,897.997802734375,1500
2021-02-18,879.0,885.0,879.0,885.0,883.0311279296875,600
2021-02-19,870.0,870.0,870.0,870.0,868.0645141601562,500
2021-02-22,870.0,870.0,870.0,870.0,868.0645141601562,0
2021-02-24,869.0,869.0,869.0,869.0,867.0667724609375,700
2021-02-25,869.0,870.0,869.0,870.0,868.0645141601562,400
2021-02-26,870.0,879.0,864.0,864.0,862.077880859375,4100
2021-03-01,879.0,889.0,879.0,889.0,887.0222778320312,900
