Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1438.0,1452.0,1388.0,1404.0,1404.0,173500
2021-01-05,1385.0,1425.0,1362.0,1407.0,1407.0,107200
2021-01-06,1395.0,1439.0,1395.0,1424.0,1424.0,77800
2021-01-07,1430.0,1447.0,1415.0,1426.0,1426.0,99700
2021-01-08,1420.0,1450.0,1415.0,1449.0,1449.0,67700
2021-01-12,1450.0,1456.0,1432.0,1445.0,1445.0,71900
2021-01-13,1439.0,1442.0,1420.0,1437.0,1437.0,66000
2021-01-14,1438.0,1476.0,1433.0,1463.0,1463.0,101100
2021-01-15,1477.0,1499.0,1438.0,1450.0,1450.0,205400
2021-01-18,1510.0,1611.0,1421.0,1466.0,1466.0,658600
2021-01-19,1480.0,1530.0,1456.0,1487.0,1487.0,268800
2021-01-20,1501.0,1580.0,1501.0,1580.0,1580.0,239100
2021-01-21,1600.0,1607.0,1541.0,1565.0,1565.0,196200
2021-01-22,1562.0,1592.0,1543.0,1565.0,1565.0,113700
2021-01-25,1571.0,1589.0,1560.0,1577.0,1577.0,54200
2021-01-26,1582.0,1628.0,1541.0,1616.0,1616.0,170200
2021-01-27,1600.0,1606.0,1550.0,1587.0,1587.0,98600
2021-01-28,1560.0,1647.0,1555.0,1640.0,1640.0,203900
2021-01-29,1648.0,1659.0,1578.0,1600.0,1600.0,121900
2021-02-01,1580.0,1609.0,1560.0,1560.0,1560.0,101600
2021-02-02,1565.0,1620.0,1565.0,1613.0,1613.0,74100
2021-02-03,1626.0,1655.0,1619.0,1645.0,1645.0,98900
2021-02-04,1655.0,1658.0,1602.0,1614.0,1614.0,74500
2021-02-05,1638.0,1687.0,1613.0,1676.0,1676.0,132500
2021-02-08,1735.0,1810.0,1718.0,1724.0,1724.0,268800
2021-02-09,1724.0,1810.0,1719.0,1773.0,1773.0,211500
2021-02-10,1782.0,1814.0,1750.0,1796.0,1796.0,161700
2021-02-12,1813.0,1865.0,1796.0,1859.0,1859.0,191600
2021-02-15,1854.0,1857.0,1788.0,1828.0,1828.0,143600
2021-02-16,1832.0,1863.0,1802.0,1808.0,1808.0,97800
2021-02-17,1789.0,1883.0,1782.0,1875.0,1875.0,138600
2021-02-18,1888.0,1950.0,1856.0,1873.0,1873.0,207400
2021-02-19,1870.0,1899.0,1819.0,1835.0,1835.0,90400
2021-02-22,1851.0,1912.0,1838.0,1900.0,1900.0,85800
2021-02-24,1910.0,2043.0,1909.0,2016.0,2016.0,243500
2021-02-25,2063.0,2110.0,1987.0,2048.0,2048.0,211600
2021-02-26,2025.0,2036.0,1953.0,2001.0,2001.0,168900
2021-03-01,2098.0,2099.0,1967.0,2021.0,2021.0,198000
2021-03-02,2028.0,2028.0,1858.0,1887.0,1887.0,286700
2021-03-03,1886.0,1907.0,1850.0,1868.0,1868.0,127600
2021-03-04,1841.0,1868.0,1807.0,1867.0,1867.0,115000
2021-03-05,1850.0,1860.0,1781.0,1829.0,1829.0,115400
2021-03-08,1842.0,1854.0,1759.0,1763.0,1763.0,108900
2021-03-09,1763.0,1875.0,1730.0,1874.0,1874.0,135500
2021-03-10,1874.0,1948.0,1836.0,1940.0,1940.0,183900
2021-03-11,1905.0,1911.0,1872.0,1908.0,1908.0,71500
2021-03-12,1875.0,1905.0,1864.0,1891.0,1891.0,54500
2021-03-15,1931.0,1960.0,1900.0,1931.0,1931.0,77400
2021-03-16,1930.0,1948.0,1874.0,1931.0,1931.0,108300
2021-03-17,1942.0,1987.0,1913.0,1978.0,1978.0,108200
2021-03-18,1990.0,1990.0,1942.0,1963.0,1963.0,81700
2021-03-19,1972.0,1980.0,1919.0,1980.0,1980.0,100900
2021-03-22,1979.0,2008.0,1960.0,1989.0,1989.0,100200
2021-03-23,1991.0,1998.0,1911.0,1925.0,1925.0,103300
2021-03-24,1899.0,1900.0,1824.0,1853.0,1853.0,116200
2021-03-25,1835.0,1917.0,1835.0,1914.0,1914.0,73500
